Date,open,high,low,close,volume
2022-01-01,2.5825,2.6102,2.4388,2.5795,224637.0
2022-01-02,2.5594,2.5833,2.432,2.5568,1248791.0
2022-01-03,2.5568,2.5852,2.271,2.436,715374.0
2022-01-04,2.436,2.5125,2.186,2.3727,851117.0
2022-01-05,2.3534,2.456,2.0245,2.1868,923398.0
2022-01-06,2.1868,2.4562,2.0655,2.2578,1185495.0
2022-01-07,2.2452,2.2896,2.0485,2.0565,1139927.0
2022-01-08,2.0565,2.1588,1.8852,1.98,1274494.0
2022-01-09,2.0412,2.2,1.978,2.1602,1068707.0
2022-01-10,2.1158,2.2,1.9213,2.0764,1236895.0
2022-01-11,1.9902,2.47,1.937,2.365,1310599.0
2022-01-12,2.363,2.6245,2.1336,2.3418,586093.0
2022-01-13,2.3883,2.5,2.2383,2.265,642282.0
2022-01-14,2.2536,2.3551,2.0268,2.3414,1149404.0
2022-01-15,2.332,2.4016,2.1864,2.3587,789146.0
2022-01-16,2.3364,2.3748,2.2835,2.331,853872.0
2022-01-17,2.331,2.429,2.277,2.429,14444.0
2022-01-18,2.429,2.429,2.429,2.429,0.0
2022-01-19,2.429,2.429,2.429,2.429,0.0
2022-01-20,2.429,2.429,2.429,2.429,0.0
2022-01-21,2.429,2.429,2.429,2.429,0.0
2022-01-22,2.429,2.429,2.429,2.429,0.0
2022-01-23,2.429,2.429,2.429,2.429,0.0
2022-01-24,2.429,2.429,2.429,2.429,0.0
2022-01-25,2.429,2.429,2.429,2.429,0.0
2022-01-26,2.429,2.429,2.429,2.429,0.0
2022-01-27,2.429,2.429,2.429,2.429,0.0
2022-01-28,2.429,2.429,2.429,2.429,0.0
2022-01-29,2.429,2.429,2.429,2.429,0.0
2022-01-30,2.429,2.429,2.429,2.429,0.0
2022-01-31,2.429,2.429,2.429,2.429,0.0
2022-02-01,2.429,2.429,2.429,2.429,0.0
2022-02-02,2.429,2.429,2.429,2.429,0.0
2022-02-03,2.429,2.429,2.429,2.429,0.0
2022-02-04,2.429,2.429,2.429,2.429,0.0
2022-02-05,2.429,2.429,2.429,2.429,0.0
2022-02-06,2.429,2.429,2.429,2.429,0.0
2022-02-07,2.429,2.429,2.429,2.429,0.0
2022-02-08,2.429,2.429,2.429,2.429,0.0
2022-02-09,2.429,2.429,2.429,2.429,0.0
2022-02-10,2.429,2.429,2.429,2.429,0.0
2022-02-11,2.429,2.429,2.429,2.429,0.0
2022-02-12,2.429,2.429,2.429,2.429,0.0
2022-02-13,2.429,2.429,2.429,2.429,0.0
2022-02-14,2.429,2.429,2.429,2.429,0.0
2022-02-15,2.429,2.429,2.429,2.429,0.0
2022-02-16,2.429,2.429,2.429,2.429,0.0
2022-02-17,2.429,2.429,2.429,2.429,0.0
