Date,open,high,low,close,volume
2022-01-01,2.0282,2.1672,2.0205,2.1246,777299.0
2022-01-02,2.127,2.2875,2.1125,2.2276,892343.0
2022-01-03,2.2274,2.3824,2.1314,2.2522,1040902.0
2022-01-04,2.2566,2.3028,2.1536,2.2282,920086.0
2022-01-05,2.2192,2.4557,2.1695,2.1695,704229.0
2022-01-06,2.1314,2.1314,1.9622,2.0228,1191548.0
2022-01-07,2.0246,2.036,1.828,1.8872,1015806.0
2022-01-08,1.8872,2.0049,1.846,1.8836,1047936.0
2022-01-09,1.9054,2.0095,1.8674,1.8984,535964.0
2022-01-10,1.8839,1.9586,1.7104,1.7744,1323525.0
2022-01-11,1.7988,1.8648,1.6996,1.8562,1374992.0
2022-01-12,1.8562,1.9302,1.7682,1.8952,1364384.0
2022-01-13,1.8952,1.9313,1.7664,1.8256,1270539.0
2022-01-14,1.8159,1.9652,1.6972,1.858,1071131.0
2022-01-15,1.833,1.9016,1.8302,1.8715,1405066.0
2022-01-16,1.8715,2.0102,1.8248,1.9133,1348329.0
2022-01-17,1.9133,2.0115,1.7999,1.8228,1405815.0
2022-01-18,1.8232,1.8428,1.7318,1.783,1136969.0
2022-01-19,1.792,1.8575,1.697,1.71,1452022.0
2022-01-20,1.712,1.8495,1.6672,1.6848,1413536.0
2022-01-21,1.6665,1.6888,1.4158,1.4478,1638851.0
2022-01-22,1.5781,1.5787,1.5781,1.5787,505.0
2022-01-23,1.5787,1.5787,1.5787,1.5787,0.0
2022-01-24,1.5787,1.5787,1.5787,1.5787,0.0
2022-01-25,1.5787,1.5787,1.5787,1.5787,0.0
2022-01-26,1.5787,1.5787,1.5787,1.5787,0.0
2022-01-27,1.5787,1.5787,1.5787,1.5787,0.0
2022-01-28,1.5787,1.5787,1.5787,1.5787,0.0
2022-01-29,1.5787,1.5787,1.5787,1.5787,0.0
2022-01-30,1.5787,1.5787,1.5787,1.5787,746.0
2022-01-31,1.579,1.579,1.5787,1.5787,14.0
2022-02-01,1.579,1.579,1.5787,1.5787,1240.0
2022-02-02,1.579,1.5862,1.5787,1.5787,13324.0
2022-02-03,1.5787,1.5787,1.5787,1.5787,0.0
2022-02-04,1.5787,1.5787,1.5787,1.5787,0.0
2022-02-05,1.5787,1.5787,1.5787,1.5787,0.0
2022-02-06,1.5787,1.5787,1.5787,1.5787,0.0
2022-02-07,1.5787,1.5787,1.5787,1.5787,0.0
2022-02-08,1.84,1.84,1.685,1.685,6542.0
2022-02-09,1.685,1.685,1.685,1.685,1733.0
2022-02-10,1.685,1.685,1.685,1.685,113.0
2022-02-11,1.685,1.685,1.685,1.685,145.0
2022-02-12,1.685,1.685,1.685,1.685,0.0
2022-02-13,1.685,1.685,1.685,1.685,0.0
2022-02-14,1.685,1.685,1.685,1.685,0.0
2022-02-15,1.685,1.685,1.685,1.685,0.0
2022-02-16,1.74,1.7495,1.6541,1.7014,657580.0
2022-02-17,1.7162,1.7226,1.6515,1.6515,317953.0
