Date,open,high,low,close,volume
2022-01-01,14.6216,15.716,14.4348,15.1824,171496.0
2022-01-02,15.1824,15.249,14.2344,14.3955,174629.0
2022-01-03,14.4404,16.4896,13.9315,16.4414,101540.0
2022-01-04,16.4826,17.6595,15.1655,16.005,159295.0
2022-01-05,16.0218,17.2878,15.2598,15.4635,100000.0
2022-01-06,15.5602,16.31,14.7658,16.31,149599.0
2022-01-07,15.9732,16.0435,14.2964,15.0192,175910.0
2022-01-08,15.2895,16.207,13.3274,13.8355,137912.0
2022-01-09,13.7072,14.3065,12.0,13.5242,105983.0
2022-01-10,13.4875,15.568,13.151,15.451,283203.0
2022-01-11,14.079,18.392,14.079,18.069,93033.0
2022-01-12,18.069,18.914,16.0,17.414,98031.0
2022-01-13,17.325,19.89,15.925,19.639,83386.0
2022-01-14,19.535,20.486,17.483,20.126,133665.0
2022-01-15,20.126,20.624,17.738,19.308,91780.0
2022-01-16,19.252,21.939,17.874,20.163,103888.0
2022-01-17,19.931,20.518,17.297,17.647,115910.0
2022-01-18,17.647,18.231,16.5,17.74,92264.0
2022-01-19,17.669,18.019,16.229,16.292,101298.0
2022-01-20,16.158,18.353,15.137,15.14,130287.0
2022-01-21,15.282,15.734,11.943,13.274,187922.0
2022-01-22,13.177,13.517,10.649,10.649,11469.0
2022-01-23,10.649,11.2,10.649,11.2,179.0
2022-01-24,11.2,11.2,9.39,9.85,2621.0
2022-01-25,10.72,13.538,10.72,12.385,1073.0
2022-01-26,12.447,13.538,10.8,10.8,367.0
2022-01-27,10.8,11.458,10.8,10.945,480.0
2022-01-28,10.945,11.055,10.945,11.0,461.0
2022-01-29,10.945,10.945,10.945,10.945,23.0
2022-01-30,11.0,11.235,10.267,10.968,635.0
2022-01-31,10.968,10.968,10.58,10.58,388.0
2022-02-01,10.6,11.387,10.6,11.387,155.0
2022-02-02,11.139,11.75,11.139,11.75,244.0
2022-02-03,11.75,11.75,10.557,11.073,788.0
2022-02-04,11.178,13.57,11.139,13.57,1259.0
2022-02-05,12.98,12.98,11.888,12.7,1104.0
2022-02-06,12.7,13.389,12.7,13.389,81.0
2022-02-07,13.09,13.09,13.09,13.09,39.0
2022-02-08,13.09,13.09,12.967,12.97,405.0
2022-02-09,12.97,12.97,12.69,12.69,64.0
2022-02-10,12.753,12.753,12.753,12.753,172.0
2022-02-11,12.753,12.753,12.753,12.753,206.0
2022-02-12,12.753,12.753,12.753,12.753,0.0
2022-02-13,12.753,12.753,12.753,12.753,0.0
2022-02-14,10.675,10.675,10.2,10.2,47.0
2022-02-15,10.2,10.2,10.2,10.2,98.0
2022-02-16,11.244,11.456,10.81,11.18,188134.0
2022-02-17,11.498,12.753,10.806,10.806,32323.0
