Date,open,high,low,close,volume
2022-01-01,0.62,0.6304,0.6055,0.6277,3042798.0
2022-01-02,0.6303,0.6444,0.6111,0.6336,3017218.0
2022-01-03,0.6372,0.6545,0.624,0.643,3572942.0
2022-01-04,0.6429,0.6825,0.6101,0.6668,3755034.0
2022-01-05,0.6658,0.6918,0.5642,0.5988,2131343.0
2022-01-06,0.5988,0.611,0.5566,0.5857,4098457.0
2022-01-07,0.5857,0.6001,0.5327,0.5405,4242413.0
2022-01-08,0.5487,0.5645,0.5045,0.5227,3658837.0
2022-01-09,0.5178,0.536,0.5124,0.5222,4435163.0
2022-01-10,0.5293,0.5648,0.4779,0.4996,5869661.0
2022-01-11,0.4926,0.5213,0.4715,0.5198,3773922.0
2022-01-12,0.5129,0.544,0.4851,0.5364,5566878.0
2022-01-13,0.544,0.5648,0.4851,0.5188,4494693.0
2022-01-14,0.5125,0.5652,0.4715,0.5185,3827712.0
2022-01-15,0.5178,0.5394,0.5126,0.528,4461593.0
2022-01-16,0.5292,0.5489,0.5233,0.5449,4775911.0
2022-01-17,0.5317,0.549,0.4967,0.5132,4501829.0
2022-01-18,0.5129,0.5337,0.4807,0.4921,5070394.0
2022-01-19,0.4959,0.5193,0.4675,0.4946,4336791.0
2022-01-20,0.4718,0.4952,0.447,0.474,4200421.0
2022-01-21,0.447,0.447,0.3441,0.3559,4270962.0
2022-01-22,0.3519,0.3609,0.3057,0.3198,2809404.0
2022-01-23,0.3198,0.3376,0.3106,0.3106,10272.0
2022-01-24,0.3106,0.3106,0.3106,0.3106,0.0
2022-01-25,0.3106,0.3106,0.3106,0.3106,0.0
2022-01-26,0.3605,0.3606,0.3106,0.3606,6318.0
2022-01-27,0.3606,0.3606,0.3606,0.3606,0.0
2022-01-28,0.3106,0.3106,0.3106,0.3106,1386.0
2022-01-29,0.3106,0.3106,0.3106,0.3106,0.0
2022-01-30,0.3122,0.3122,0.3057,0.3057,2253.0
2022-01-31,0.3057,0.3057,0.3046,0.3046,3271.0
2022-02-01,0.3046,0.363,0.3024,0.363,45974.0
2022-02-02,0.363,0.363,0.363,0.363,0.0
2022-02-03,0.3023,0.3023,0.3023,0.3023,5221.0
2022-02-04,0.3023,0.3023,0.3023,0.3023,0.0
2022-02-05,0.3023,0.3023,0.3023,0.3023,0.0
2022-02-06,0.3023,0.3023,0.3023,0.3023,0.0
2022-02-07,0.3916,0.3923,0.348,0.348,6639.0
2022-02-08,0.3923,0.3923,0.348,0.348,1913.0
2022-02-09,0.3923,0.4054,0.348,0.4054,9644.0
2022-02-10,0.4054,0.4054,0.4054,0.4054,0.0
2022-02-11,0.4054,0.4054,0.4054,0.4054,0.0
2022-02-12,0.4054,0.4054,0.4054,0.4054,0.0
2022-02-13,0.4054,0.4054,0.4054,0.4054,0.0
2022-02-14,0.4054,0.4054,0.4054,0.4054,0.0
2022-02-15,0.4054,0.4054,0.4054,0.4054,0.0
2022-02-16,0.3801,0.3965,0.3626,0.3707,3954819.0
2022-02-17,0.3841,0.3841,0.3568,0.3674,1294036.0
