Date,open,high,low,close,volume
2022-01-01,5.819,6.16,5.654,6.124,282376.5
2022-01-02,6.182,6.528,5.833,6.226,188152.9
2022-01-03,6.226,6.47,6.147,6.283,322699.5
2022-01-04,6.248,6.471,5.963,6.063,393933.1
2022-01-05,6.063,6.478,5.276,5.535,396959.1
2022-01-06,5.546,5.785,5.246,5.593,287073.5
2022-01-07,5.593,5.703,5.368,5.463,355274.4
2022-01-08,5.544,5.904,5.16,5.3,392260.6
2022-01-09,5.321,5.763,5.135,5.385,282616.9
2022-01-10,5.303,5.451,4.854,5.047,443866.9
2022-01-11,5.108,5.442,4.982,5.351,462461.0
2022-01-12,5.351,6.084,4.975,5.826,339279.9
2022-01-13,5.849,6.345,5.814,5.964,401363.8
2022-01-14,5.913,6.354,5.372,5.994,316135.3
2022-01-15,5.994,6.825,5.953,6.712,449497.2
2022-01-16,6.752,6.876,6.361,6.52,309148.2
2022-01-17,6.52,6.931,6.011,6.273,324749.1
2022-01-18,6.315,6.317,5.726,5.878,371722.6
2022-01-19,5.879,5.999,5.452,5.477,532815.6
2022-01-20,5.477,5.891,5.418,5.677,266903.6
2022-01-21,5.891,5.891,4.536,4.743,404252.3
2022-01-22,4.739,4.933,4.533,4.533,103334.7
2022-01-23,4.884,4.884,4.53,4.53,255.5
2022-01-24,4.53,4.53,4.53,4.53,0.0
2022-01-25,4.53,4.53,4.529,4.529,220.7
2022-01-26,4.884,4.884,4.529,4.529,227.0
2022-01-27,4.529,4.529,4.529,4.529,0.0
2022-01-28,4.529,4.933,4.529,4.554,1243.7
2022-01-29,4.554,4.936,4.524,4.936,839.4
2022-01-30,4.936,4.943,4.936,4.943,769.6
2022-01-31,4.52,4.943,4.52,4.943,4.4
2022-02-01,4.943,4.943,4.943,4.943,0.0
2022-02-02,4.943,5.058,4.483,4.483,3381.9
2022-02-03,5.123,5.196,5.123,5.196,1733.4
2022-02-04,5.216,5.217,5.216,5.217,445.4
2022-02-05,5.217,5.217,5.217,5.217,0.0
2022-02-06,5.217,5.217,5.217,5.217,0.0
2022-02-07,5.217,5.217,4.9,4.925,135.5
2022-02-08,5.999,6.005,4.8,4.8,138.4
2022-02-09,5.261,5.261,5.261,5.261,225.7
2022-02-10,5.287,5.287,5.287,5.287,6.5
2022-02-11,5.287,5.287,5.287,5.287,0.0
2022-02-12,5.287,5.287,5.287,5.287,0.0
2022-02-13,5.287,5.287,5.287,5.287,0.0
2022-02-14,5.287,5.287,5.287,5.287,0.0
2022-02-15,5.287,5.287,5.287,5.287,0.0
2022-02-16,4.872,4.947,4.633,4.785,443129.0
2022-02-17,4.837,4.985,4.77,4.77,4196.4
