Date,open,high,low,close,volume
2022-01-01,0.655,0.6958,0.6383,0.6712,2926871.5
2022-01-02,0.6733,0.71,0.6626,0.6774,1611612.7
2022-01-03,0.7088,0.7102,0.6669,0.6905,3525424.4
2022-01-04,0.6836,0.7163,0.6622,0.6689,2940888.1
2022-01-05,0.6706,0.7634,0.5995,0.6348,2502031.8
2022-01-06,0.6319,0.6797,0.5888,0.6201,1780902.7
2022-01-07,0.6286,0.6415,0.5922,0.6064,3901787.6
2022-01-08,0.617,0.6361,0.5718,0.5853,2942369.9
2022-01-09,0.5861,0.6207,0.5833,0.6207,3986384.4
2022-01-10,0.6207,0.6297,0.5642,0.5905,4004429.7
2022-01-11,0.5905,0.6138,0.5842,0.608,2126779.1
2022-01-12,0.6162,0.6409,0.5635,0.6409,2431737.4
2022-01-13,0.6408,0.6492,0.6104,0.6164,3171792.5
2022-01-14,0.6145,0.6314,0.6044,0.63,3149553.4
2022-01-15,0.6314,0.6606,0.6122,0.6425,3058657.2
2022-01-16,0.6425,0.6608,0.633,0.6445,2261382.6
2022-01-17,0.6465,0.6608,0.6056,0.6179,1650272.1
2022-01-18,0.6197,0.626,0.5972,0.5972,1735976.7
2022-01-19,0.6162,0.6263,0.5813,0.6076,2480308.4
2022-01-20,0.5945,0.6248,0.5614,0.5734,3395546.8
2022-01-21,0.5734,0.583,0.4888,0.4988,5035016.0
2022-01-22,0.4934,0.5125,0.458,0.458,1995883.9
2022-01-23,0.458,0.5125,0.4561,0.4561,4900.9
2022-01-24,0.4561,0.4561,0.4561,0.4561,0.0
2022-01-25,0.4561,0.4561,0.4561,0.4561,0.0
2022-01-26,0.5125,0.5155,0.5125,0.5155,8163.0
2022-01-27,0.5155,0.5155,0.5155,0.5155,0.0
2022-01-28,0.5155,0.5155,0.5155,0.5155,0.0
2022-01-29,0.5155,0.5155,0.5155,0.5155,0.0
2022-01-30,0.4774,0.5155,0.4774,0.5056,2232.0
2022-01-31,0.4575,0.4575,0.4575,0.4575,1671.9
2022-02-01,0.4575,0.5446,0.4575,0.5022,16744.5
2022-02-02,0.5022,0.5022,0.4575,0.4575,179.2
2022-02-03,0.4575,0.5022,0.4575,0.4825,6745.5
2022-02-04,0.4836,0.4836,0.4836,0.4836,1650.0
2022-02-05,0.6167,0.6263,0.6167,0.6263,14196.4
2022-02-06,0.6263,0.6263,0.6263,0.6263,0.0
2022-02-07,0.6263,0.6263,0.6263,0.6263,0.0
2022-02-08,0.6263,0.6263,0.506,0.506,5812.1
2022-02-09,0.506,0.506,0.506,0.506,0.0
2022-02-10,0.6608,0.6633,0.6608,0.6633,10692.1
2022-02-11,0.6633,0.6633,0.6633,0.6633,160.7
2022-02-12,0.5227,0.5227,0.5227,0.5227,14196.4
2022-02-13,0.5227,0.5227,0.5227,0.5227,0.0
2022-02-14,0.5227,0.5227,0.5227,0.5227,0.0
2022-02-15,0.5227,0.5227,0.5227,0.5227,1880.1
2022-02-16,0.588,0.6013,0.5647,0.5955,2637839.1
2022-02-17,0.5955,0.6032,0.564,0.575,540690.4
