Date,open,high,low,close,volume
2022-01-01,0.11826,0.12654,0.11826,0.12408,15889676.0
2022-01-02,0.12457,0.12569,0.11607,0.11978,12353840.0
2022-01-03,0.12128,0.14031,0.11634,0.12422,17407748.0
2022-01-04,0.12386,0.12518,0.11315,0.1179,12666899.0
2022-01-05,0.12025,0.1213,0.09118,0.10206,18608650.0
2022-01-06,0.10206,0.10699,0.09539,0.1022,22215687.0
2022-01-07,0.1022,0.1114,0.09155,0.09996,25193023.0
2022-01-08,0.09996,0.10318,0.0891,0.094,11869110.0
2022-01-09,0.094,0.09601,0.08918,0.08918,9432399.0
2022-01-10,0.08918,0.0931,0.07444,0.07847,16531301.0
2022-01-11,0.07738,0.081,0.07164,0.07606,21040363.0
2022-01-12,0.08252,0.085,0.07755,0.0805,7031792.0
2022-01-13,0.08206,0.08527,0.07782,0.07982,27912704.0
2022-01-14,0.07862,0.07896,0.07164,0.07788,8363157.0
2022-01-15,0.07854,0.08123,0.07482,0.07694,25245391.0
2022-01-16,0.07523,0.084,0.0728,0.08006,21970826.0
2022-01-17,0.08048,0.0818,0.06502,0.06722,26991571.0
2022-01-18,0.06729,0.06918,0.06037,0.06365,24306467.0
2022-01-19,0.06338,0.0671,0.05636,0.05794,43596880.0
2022-01-20,0.05782,0.06376,0.05454,0.05798,43324356.0
2022-01-21,0.0569,0.0569,0.03846,0.04139,12824863.0
2022-01-22,0.04139,0.04139,0.04139,0.04139,7494.0
2022-01-23,0.03866,0.0408,0.03515,0.03519,190157.0
2022-01-24,0.03519,0.03519,0.03519,0.03519,0.0
2022-01-25,0.03519,0.03519,0.03519,0.03519,0.0
2022-01-26,0.03964,0.03964,0.03964,0.03964,265.0
2022-01-27,0.0518,0.0518,0.0518,0.0518,58269.0
2022-01-28,0.0518,0.055,0.0518,0.053,541469.0
2022-01-29,0.053,0.0777,0.053,0.07617,2681406.0
2022-01-30,0.07617,0.07617,0.07615,0.07615,1188319.0
2022-01-31,0.08509,0.08717,0.08509,0.08563,1383623.0
2022-02-01,0.0924,0.0948,0.08789,0.09321,169567.0
2022-02-02,0.09421,0.09421,0.08311,0.08339,1503759.0
2022-02-03,0.08339,0.08339,0.07666,0.07666,80346.0
2022-02-04,0.07666,0.07666,0.07666,0.07666,13236.0
2022-02-05,0.0983,0.113,0.0983,0.113,22745.0
2022-02-06,0.0993,0.0993,0.09305,0.09305,204.0
2022-02-07,0.0993,0.0993,0.094,0.094,35511.0
2022-02-08,0.08955,0.08955,0.07929,0.08207,36040.0
2022-02-09,0.08207,0.08207,0.08207,0.08207,70575.0
2022-02-10,0.08207,0.08207,0.07666,0.07666,6204.0
2022-02-11,0.07729,0.07729,0.07729,0.07729,5543.0
2022-02-12,0.07729,0.07729,0.07729,0.07729,0.0
2022-02-13,0.07729,0.07729,0.07729,0.07729,0.0
2022-02-14,0.07729,0.07729,0.07729,0.07729,0.0
2022-02-15,0.07729,0.07729,0.07729,0.07729,0.0
2022-02-16,0.07068,0.07196,0.06626,0.06883,8075207.0
2022-02-17,0.06984,0.07134,0.06556,0.06652,11246837.0
