Date,open,high,low,close,volume
2022-01-01,8.741,9.1,8.489,8.988,325138.5
2022-01-02,8.987,9.326,8.803,9.277,179930.2
2022-01-03,9.263,10.196,9.039,9.209,268331.9
2022-01-04,9.039,9.377,8.874,9.086,240016.8
2022-01-05,8.968,9.277,7.881,8.198,269687.8
2022-01-06,8.198,8.477,7.874,8.45,254840.4
2022-01-07,8.404,8.515,7.712,7.859,246588.5
2022-01-08,7.875,8.116,7.447,7.697,240134.8
2022-01-09,7.653,8.071,7.492,7.682,182211.2
2022-01-10,7.682,8.072,6.526,7.292,404788.1
2022-01-11,7.206,7.96,7.141,7.488,401331.2
2022-01-12,7.477,8.547,7.131,7.873,271105.0
2022-01-13,7.956,8.04,7.512,7.512,280350.3
2022-01-14,7.545,7.985,7.486,7.786,360415.4
2022-01-15,7.786,9.142,7.501,8.218,133101.2
2022-01-16,8.309,8.841,7.897,8.104,276805.9
2022-01-17,8.08,8.214,7.509,7.655,381947.8
2022-01-18,7.655,7.909,7.471,7.809,330326.9
2022-01-19,7.814,8.03,7.412,7.5,139817.6
2022-01-20,7.484,8.106,7.23,7.23,82951.4
2022-01-21,7.266,7.266,6.574,6.722,140644.3
2022-01-22,6.46,6.46,6.451,6.451,450.6
2022-01-23,6.451,6.451,6.45,6.45,75.1
2022-01-24,6.45,6.45,6.45,6.45,0.0
2022-01-25,6.45,6.45,6.45,6.45,0.0
2022-01-26,6.45,6.45,5.939,5.939,4278.9
2022-01-27,5.939,5.939,5.939,5.939,0.0
2022-01-28,5.939,5.939,5.939,5.939,883.8
2022-01-29,5.939,5.939,5.939,5.939,0.0
2022-01-30,5.967,5.967,5.967,5.967,25.3
2022-01-31,5.967,5.967,5.967,5.967,0.0
2022-02-01,5.967,5.967,5.967,5.967,0.0
2022-02-02,6.082,6.082,5.662,5.662,2728.1
2022-02-03,5.662,5.662,5.662,5.662,0.0
2022-02-04,5.662,5.662,5.662,5.662,0.0
2022-02-05,5.662,5.662,5.662,5.662,0.0
2022-02-06,5.662,5.662,5.662,5.662,0.0
2022-02-07,5.662,5.662,5.662,5.662,0.0
2022-02-08,5.662,5.662,5.662,5.662,0.0
2022-02-09,5.662,5.662,5.662,5.662,0.0
2022-02-10,5.662,5.662,5.662,5.662,0.0
2022-02-11,5.662,5.662,5.662,5.662,0.0
2022-02-12,5.662,5.662,5.662,5.662,0.0
2022-02-13,5.662,5.662,5.662,5.662,0.0
2022-02-14,5.662,5.662,5.662,5.662,0.0
2022-02-15,7.572,7.572,7.139,7.139,6.0
2022-02-16,7.572,7.955,7.468,7.84,270880.4
2022-02-17,7.85,7.85,7.664,7.664,809.0
