Date,open,high,low,close,volume
2022-01-01,6.276,6.534,6.276,6.531,309432.3
2022-01-02,6.598,7.077,6.302,6.934,449734.6
2022-01-03,6.911,7.08,6.469,6.642,306848.8
2022-01-04,6.302,6.715,6.285,6.467,262164.4
2022-01-05,6.467,6.767,5.766,6.076,316271.7
2022-01-06,6.076,6.189,5.665,5.787,246218.1
2022-01-07,5.901,5.901,5.339,5.369,394644.6
2022-01-08,5.312,5.457,5.063,5.206,368652.0
2022-01-09,5.22,5.498,5.054,5.389,384781.3
2022-01-10,5.381,5.381,4.926,5.038,360943.6
2022-01-11,5.106,5.448,5.01,5.376,367941.6
2022-01-12,5.316,5.547,5.061,5.502,399771.2
2022-01-13,5.513,5.683,5.235,5.235,350652.6
2022-01-14,5.273,5.421,5.01,5.405,545865.0
2022-01-15,5.306,5.586,5.25,5.497,355327.8
2022-01-16,5.438,5.564,5.317,5.38,354943.9
2022-01-17,5.38,5.389,5.009,5.141,449640.2
2022-01-18,5.141,5.264,5.006,5.264,76298.3
2022-01-19,5.127,5.209,4.913,4.915,197136.9
2022-01-20,4.927,5.29,4.892,4.892,443846.3
2022-01-21,4.892,4.892,4.306,4.306,508941.8
2022-01-22,4.152,4.239,3.832,4.006,35904.4
2022-01-23,4.006,4.006,4.006,4.006,0.0
2022-01-24,4.006,4.006,4.006,4.006,0.0
2022-01-25,4.006,4.006,4.006,4.006,0.0
2022-01-26,4.006,4.006,4.006,4.006,0.0
2022-01-27,4.006,4.006,4.006,4.006,0.0
2022-01-28,4.006,4.006,4.006,4.006,0.0
2022-01-29,3.804,4.214,3.801,3.801,770.3
2022-01-30,3.801,3.801,3.801,3.801,0.0
2022-01-31,3.801,3.801,3.801,3.801,0.0
2022-02-01,3.801,3.801,3.801,3.801,0.0
2022-02-02,3.801,3.801,3.801,3.801,0.0
2022-02-03,3.801,3.801,3.801,3.801,0.0
2022-02-04,3.801,3.801,3.785,3.785,965.5
2022-02-05,3.785,3.785,3.785,3.785,0.0
2022-02-06,3.785,3.785,3.785,3.785,0.0
2022-02-07,3.79,4.234,3.79,4.234,1532.7
2022-02-08,4.234,4.234,4.234,4.234,0.0
2022-02-09,3.79,3.79,3.79,3.79,903.1
2022-02-10,3.79,3.79,3.79,3.79,0.0
2022-02-11,3.79,3.79,3.79,3.79,63.8
2022-02-12,3.79,3.79,3.79,3.79,0.0
2022-02-13,3.79,3.79,3.79,3.79,5.3
2022-02-14,3.79,3.79,3.79,3.79,0.0
2022-02-15,3.79,3.79,3.79,3.79,0.0
2022-02-16,3.79,3.861,3.643,3.803,421374.6
2022-02-17,3.743,3.809,3.533,3.653,287636.8
