Date,open,high,low,close,volume
2022-01-01,2.9501,3.0908,2.913,3.063,980016.7
2022-01-02,3.1038,3.2988,3.0592,3.2098,631208.0
2022-01-03,3.1929,3.3033,3.0972,3.2448,534488.5
2022-01-04,3.291,3.618,3.1769,3.4052,755943.9
2022-01-05,3.4128,3.6225,2.9565,3.1424,733167.7
2022-01-06,3.1126,3.1695,2.8954,3.0242,1022439.9
2022-01-07,3.0212,3.0435,2.7722,2.8352,697004.6
2022-01-08,2.786,2.9101,2.644,2.7546,549637.9
2022-01-09,2.7586,2.943,2.7338,2.922,509505.7
2022-01-10,2.8632,2.9762,2.62,2.7455,1047654.0
2022-01-11,2.7414,2.8848,2.7045,2.796,795495.3
2022-01-12,2.8269,2.9244,2.7892,2.8924,1049441.5
2022-01-13,2.8924,2.9676,2.7324,2.7546,574144.5
2022-01-14,2.7376,2.7793,2.6565,2.7793,901366.2
2022-01-15,2.7348,2.835,2.7127,2.7825,697161.2
2022-01-16,2.7674,2.8212,2.7026,2.8212,383515.8
2022-01-17,2.7338,2.7338,2.567,2.6071,991543.5
2022-01-18,2.6064,2.651,2.4994,2.5622,642206.2
2022-01-19,2.561,2.5904,2.2559,2.472,861335.2
2022-01-20,2.4706,2.61,2.4694,2.61,620155.5
2022-01-21,2.5568,2.5568,2.1374,2.1374,862420.6
2022-01-22,2.1374,2.1625,1.9536,1.9536,255993.5
2022-01-23,1.9536,1.9536,1.9485,1.9485,4066.8
2022-01-24,1.9485,1.9485,1.9485,1.9485,48.2
2022-01-25,1.9485,1.9485,1.9485,1.9485,23.0
2022-01-26,1.9485,1.9485,1.7812,1.7812,1508.1
2022-01-27,1.7812,1.7812,1.7793,1.7793,302.9
2022-01-28,1.7793,1.7793,1.7793,1.7793,33.5
2022-01-29,1.7793,1.7793,1.7735,1.7735,1858.6
2022-01-30,1.7735,1.7735,1.773,1.773,285.7
2022-01-31,1.773,1.773,1.773,1.773,10.7
2022-02-01,1.773,1.773,1.773,1.773,0.0
2022-02-02,1.773,1.773,1.773,1.773,5.1
2022-02-03,1.9063,1.9063,1.773,1.773,43.9
2022-02-04,1.773,2.271,1.773,2.271,5587.9
2022-02-05,2.3355,2.3355,2.3355,2.3355,608.5
2022-02-06,2.3355,2.3355,2.3355,2.3355,0.0
2022-02-07,2.3238,2.3238,2.15,2.15,1705.9
2022-02-08,2.15,2.15,2.15,2.15,0.0
2022-02-09,2.61,2.6107,2.401,2.6107,695.1
2022-02-10,2.5391,2.5391,2.5391,2.5391,31.6
2022-02-11,2.5391,2.5391,2.5391,2.5391,0.0
2022-02-12,2.5391,2.5391,2.5391,2.5391,0.0
2022-02-13,1.773,1.773,1.7685,1.7685,2189.9
2022-02-14,1.7685,1.7685,1.7685,1.7685,0.0
2022-02-15,1.7685,1.7685,1.7685,1.7685,0.0
2022-02-16,2.1388,2.1791,2.0884,2.1248,779415.0
2022-02-17,2.144,2.144,2.0461,2.0668,374326.1
