Date,open,high,low,close,volume
2022-01-01,0.42778,0.45336,0.40926,0.44494,3276163.0
2022-01-02,0.43785,0.44703,0.39374,0.41353,7802579.0
2022-01-03,0.4359,0.44008,0.39772,0.4265,5927856.0
2022-01-04,0.42644,0.44805,0.39751,0.41329,3450532.0
2022-01-05,0.41329,0.4257,0.34253,0.38081,7103659.0
2022-01-06,0.36986,0.40754,0.35516,0.39867,5180348.0
2022-01-07,0.36057,0.37892,0.3374,0.35797,6422378.0
2022-01-08,0.3535,0.38601,0.3506,0.37678,2667795.0
2022-01-09,0.37678,0.37678,0.31866,0.33743,7562804.0
2022-01-10,0.33731,0.35875,0.30385,0.34092,5983954.0
2022-01-11,0.36063,0.45039,0.36063,0.44919,3100249.0
2022-01-12,0.44884,0.50062,0.43826,0.49547,6286348.0
2022-01-13,0.51881,0.53319,0.48154,0.50246,1722261.0
2022-01-14,0.49587,0.5537,0.47766,0.5537,1390570.0
2022-01-15,0.5537,0.59847,0.54,0.57327,1126551.0
2022-01-16,0.56583,0.57634,0.5255,0.53626,1856977.0
2022-01-17,0.52321,0.52557,0.49291,0.49497,933346.0
2022-01-18,0.49497,0.49497,0.49252,0.49252,6525.0
2022-01-19,0.49252,0.49252,0.49252,0.49252,0.0
2022-01-20,0.49252,0.49252,0.41,0.41,332.0
2022-01-21,0.41,0.41,0.41,0.41,0.0
2022-01-22,0.41,0.41,0.41,0.41,0.0
2022-01-23,0.41,0.41,0.41,0.41,0.0
2022-01-24,0.41,0.41,0.41,0.41,0.0
2022-01-25,0.41,0.41,0.41,0.41,0.0
2022-01-26,0.41,0.41,0.41,0.41,0.0
2022-01-27,0.41,0.41,0.41,0.41,0.0
2022-01-28,0.41,0.41,0.41,0.41,0.0
2022-01-29,0.41,0.41,0.41,0.41,0.0
2022-01-30,0.41,0.41,0.41,0.41,0.0
2022-01-31,0.41,0.41,0.41,0.41,0.0
2022-02-01,0.41,0.41,0.41,0.41,0.0
2022-02-02,0.41,0.41,0.41,0.41,0.0
2022-02-03,0.41,0.41,0.41,0.41,0.0
2022-02-04,0.41,0.41,0.41,0.41,0.0
2022-02-05,0.41,0.41,0.41,0.41,0.0
2022-02-06,0.41,0.41,0.41,0.41,0.0
2022-02-07,0.41,0.41,0.41,0.41,0.0
2022-02-08,0.41,0.41,0.41,0.41,0.0
2022-02-09,0.41,0.41,0.41,0.41,0.0
2022-02-10,0.41,0.41,0.41,0.41,0.0
2022-02-11,0.41,0.41,0.41,0.41,0.0
2022-02-12,0.41,0.41,0.41,0.41,0.0
2022-02-13,0.41,0.41,0.41,0.41,0.0
2022-02-14,0.311,0.311,0.311,0.311,243.0
2022-02-15,0.311,0.311,0.311,0.311,0.0
2022-02-16,0.311,0.311,0.311,0.311,0.0
2022-02-17,0.311,0.311,0.311,0.311,0.0
