Date,open,high,low,close,volume
2022-01-01,6.704,7.269,6.704,7.108,193627.0
2022-01-02,7.269,7.69,6.648,7.435,273319.0
2022-01-03,7.42,7.698,6.636,7.324,345586.0
2022-01-04,7.322,8.335,7.026,7.729,188990.0
2022-01-05,7.78,8.14,6.762,7.125,258784.0
2022-01-06,7.114,7.256,6.578,6.957,281616.0
2022-01-07,7.147,7.258,6.327,6.588,445541.0
2022-01-08,6.529,6.744,5.794,5.794,300241.0
2022-01-09,5.961,6.757,5.96,6.179,421326.0
2022-01-10,6.179,6.452,5.448,5.683,334791.0
2022-01-11,5.694,6.489,5.694,6.434,253019.0
2022-01-12,6.205,6.987,5.694,6.952,304871.0
2022-01-13,7.03,7.4,6.332,6.36,345795.0
2022-01-14,6.319,6.487,6.086,6.412,345985.0
2022-01-15,6.333,6.679,6.084,6.543,282127.0
2022-01-16,6.679,6.736,6.083,6.243,165855.0
2022-01-17,6.243,6.567,6.033,6.114,80516.0
2022-01-18,6.022,6.022,5.546,5.546,5532.0
2022-01-19,5.536,5.536,5.536,5.536,21.0
2022-01-20,5.536,5.536,5.536,5.536,0.0
2022-01-21,5.536,5.536,5.443,5.443,1719.0
2022-01-22,5.443,5.443,5.443,5.443,0.0
2022-01-23,5.443,5.443,5.443,5.443,0.0
2022-01-24,5.443,5.443,5.443,5.443,0.0
2022-01-25,5.443,5.443,5.443,5.443,0.0
2022-01-26,5.443,5.443,5.443,5.443,0.0
2022-01-27,5.443,5.443,5.443,5.443,0.0
2022-01-28,5.443,5.443,5.443,5.443,0.0
2022-01-29,5.443,5.443,5.443,5.443,0.0
2022-01-30,5.443,5.443,5.443,5.443,0.0
2022-01-31,5.443,5.443,5.443,5.443,0.0
2022-02-01,5.443,5.443,5.443,5.443,0.0
2022-02-02,5.443,5.443,5.443,5.443,0.0
2022-02-03,5.443,5.443,5.443,5.443,0.0
2022-02-04,5.443,5.443,5.443,5.443,0.0
2022-02-05,5.443,5.443,5.443,5.443,0.0
2022-02-06,5.443,5.443,5.443,5.443,0.0
2022-02-07,5.443,5.443,5.443,5.443,0.0
2022-02-08,5.443,5.443,5.443,5.443,0.0
2022-02-09,5.443,5.443,5.443,5.443,0.0
2022-02-10,5.443,5.443,5.443,5.443,0.0
2022-02-11,5.443,5.443,5.443,5.443,0.0
2022-02-12,5.443,5.443,5.443,5.443,0.0
2022-02-13,5.443,5.443,5.443,5.443,0.0
2022-02-14,5.443,5.443,5.443,5.443,0.0
2022-02-15,5.443,5.443,5.443,5.443,0.0
2022-02-16,5.443,5.443,5.443,5.443,0.0
2022-02-17,5.443,5.443,5.443,5.443,0.0
