Date,open,high,low,close,volume
2022-01-01,5.8798,6.1602,5.8398,5.9649,186863.0
2022-01-02,5.9649,6.0019,5.8302,5.8768,322443.0
2022-01-03,5.9154,5.9937,5.1243,5.6942,303805.0
2022-01-04,5.6939,5.719,4.9584,5.5595,339050.0
2022-01-05,5.4702,5.719,4.9584,5.0612,341304.0
2022-01-06,5.0612,5.4056,4.7866,5.2268,304463.0
2022-01-07,5.2509,5.4073,4.7154,4.8619,362107.0
2022-01-08,4.858,5.039,4.4808,4.6152,332094.0
2022-01-09,4.6147,4.9119,4.5682,4.7187,515632.0
2022-01-10,4.7058,4.7627,4.245,4.4684,346093.0
2022-01-11,4.4625,4.9153,4.3657,4.3998,485787.0
2022-01-12,4.399,5.1903,4.356,5.1244,328188.0
2022-01-13,5.0624,5.2135,4.8011,4.8634,514346.0
2022-01-14,4.9217,5.0088,4.7891,4.85,166236.0
2022-01-15,4.9134,4.9253,4.85,4.85,220000.0
2022-01-16,4.85,5.0659,4.7635,4.9165,206409.0
2022-01-17,4.9165,5.2186,4.3295,5.2186,107690.0
2022-01-18,4.3295,4.3295,4.3289,4.3289,206.0
2022-01-19,4.3289,4.3289,4.3241,4.3241,1704.0
2022-01-20,4.3241,4.3241,4.1,4.1,8027.0
2022-01-21,4.1,4.1,4.051,4.051,3194.0
2022-01-22,3.42,3.42,3.42,3.42,5.0
2022-01-23,3.42,3.42,3.42,3.42,0.0
2022-01-24,3.42,3.42,3.42,3.42,0.0
2022-01-25,3.42,3.42,3.42,3.42,141.0
2022-01-26,3.42,3.42,3.42,3.42,0.0
2022-01-27,3.42,3.42,3.42,3.42,0.0
2022-01-28,3.42,3.42,3.42,3.42,0.0
2022-01-29,3.42,3.42,3.42,3.42,0.0
2022-01-30,3.42,3.42,3.42,3.42,0.0
2022-01-31,3.42,3.42,3.42,3.42,0.0
2022-02-01,3.42,3.42,3.42,3.42,0.0
2022-02-02,3.42,3.42,3.42,3.42,0.0
2022-02-03,3.42,3.42,3.42,3.42,0.0
2022-02-04,3.42,3.42,3.42,3.42,0.0
2022-02-05,3.42,3.42,3.42,3.42,0.0
2022-02-06,3.42,3.42,3.42,3.42,0.0
2022-02-07,3.42,3.42,3.42,3.42,0.0
2022-02-08,3.42,3.42,3.42,3.42,0.0
2022-02-09,3.42,3.42,3.42,3.42,0.0
2022-02-10,3.42,3.42,3.42,3.42,0.0
2022-02-11,3.42,3.42,3.42,3.42,0.0
2022-02-12,3.42,3.42,3.42,3.42,0.0
2022-02-13,3.42,3.42,3.42,3.42,0.0
2022-02-14,3.42,3.42,3.42,3.42,0.0
2022-02-15,3.42,3.42,3.42,3.42,0.0
2022-02-16,3.42,3.42,3.42,3.42,0.0
2022-02-17,3.42,3.42,3.42,3.42,0.0
