Date,open,high,low,close,volume
2022-01-01,5.484,6.011,5.465,6.007,271853.7
2022-01-02,6.007,6.358,5.84,6.285,460487.3
2022-01-03,6.203,7.167,5.838,7.132,437238.1
2022-01-04,6.976,7.236,6.561,6.632,354462.2
2022-01-05,6.561,7.485,5.989,6.435,350132.1
2022-01-06,6.396,6.396,5.833,6.023,322701.3
2022-01-07,6.023,6.083,5.251,5.437,346465.0
2022-01-08,5.437,6.104,4.896,4.98,364020.6
2022-01-09,5.051,5.635,4.958,5.122,413716.2
2022-01-10,5.122,5.188,4.592,4.845,398144.9
2022-01-11,4.845,5.143,4.768,5.143,465418.4
2022-01-12,5.108,5.514,4.959,5.497,443161.4
2022-01-13,5.38,5.534,4.864,5.02,457622.9
2022-01-14,5.108,5.534,4.894,5.195,285065.6
2022-01-15,5.195,5.437,4.882,5.326,536247.8
2022-01-16,5.271,5.443,4.867,5.359,189636.0
2022-01-17,5.429,5.471,4.865,4.965,476013.4
2022-01-18,4.94,5.483,4.833,4.966,413922.3
2022-01-19,4.986,5.152,4.848,4.933,298596.4
2022-01-20,4.871,5.483,4.743,4.828,381103.5
2022-01-21,4.808,4.861,4.106,4.197,465594.4
2022-01-22,4.197,4.197,4.197,4.197,0.0
2022-01-23,4.197,4.197,4.197,4.197,0.0
2022-01-24,4.197,4.197,4.197,4.197,0.0
2022-01-25,4.197,4.197,4.197,4.197,0.0
2022-01-26,4.176,4.176,4.176,4.176,33.4
2022-01-27,4.176,4.176,4.176,4.176,0.0
2022-01-28,4.176,4.176,4.176,4.176,0.0
2022-01-29,4.644,4.733,4.644,4.733,2194.5
2022-01-30,4.733,4.733,4.733,4.733,3.8
2022-01-31,4.733,4.755,4.733,4.755,355.0
2022-02-01,4.755,5.625,4.755,5.625,3521.1
2022-02-02,6.104,6.197,5.822,5.822,2784.0
2022-02-03,4.733,4.733,4.733,4.733,28.0
2022-02-04,5.052,5.052,5.052,5.052,1321.1
2022-02-05,5.052,5.052,5.052,5.052,0.0
2022-02-06,5.052,5.052,5.052,5.052,0.0
2022-02-07,5.052,5.052,5.052,5.052,0.0
2022-02-08,5.052,5.052,5.052,5.052,0.0
2022-02-09,5.4,5.4,5.4,5.4,712.9
2022-02-10,5.373,5.681,5.373,5.681,653.2
2022-02-11,5.681,5.681,5.681,5.681,0.0
2022-02-12,4.896,4.896,4.896,4.896,104.2
2022-02-13,4.896,4.896,4.896,4.896,914.2
2022-02-14,4.896,4.896,4.176,4.176,956.2
2022-02-15,4.176,4.176,4.176,4.176,0.0
2022-02-16,5.02,5.067,4.8,4.861,412084.2
2022-02-17,5.009,5.049,4.846,4.969,117746.2
