Date,open,high,low,close,volume
2022-01-01,169.34,179.5,167.39,179.12,2466.0
2022-01-02,177.99,179.24,175.09,176.92,5018.0
2022-01-03,176.72,179.29,167.94,170.92,7199.0
2022-01-04,170.26,174.13,167.35,172.29,6072.0
2022-01-05,172.41,174.16,146.59,155.16,15639.0
2022-01-06,154.8,155.16,146.71,154.62,5832.0
2022-01-07,146.11,148.04,134.18,136.54,16444.0
2022-01-08,136.6,148.23,132.89,141.6,12994.0
2022-01-09,142.37,147.08,138.24,141.57,15542.0
2022-01-10,140.96,145.84,137.6,137.6,8720.0
2022-01-11,137.6,144.08,133.45,140.53,12930.0
2022-01-12,139.99,144.31,138.05,143.53,6167.0
2022-01-13,143.53,153.21,143.53,150.89,3022.0
2022-01-14,150.67,151.0,138.0,145.55,9119.0
2022-01-15,146.28,149.86,144.6,148.09,15423.0
2022-01-16,148.08,152.28,146.82,148.86,8858.0
2022-01-17,148.86,148.86,148.86,148.86,0.0
2022-01-18,148.86,148.86,148.86,148.86,0.0
2022-01-19,148.86,148.86,148.86,148.86,0.0
2022-01-20,148.86,148.86,148.86,148.86,0.0
2022-01-21,148.86,148.86,148.86,148.86,0.0
2022-01-22,148.86,148.86,148.86,148.86,0.0
2022-01-23,148.86,148.86,148.86,148.86,0.0
2022-01-24,148.86,148.86,148.86,148.86,0.0
2022-01-25,148.86,148.86,148.86,148.86,0.0
2022-01-26,148.86,148.86,148.86,148.86,0.0
2022-01-27,148.86,148.86,148.86,148.86,0.0
2022-01-28,148.86,148.86,148.86,148.86,0.0
2022-01-29,148.86,148.86,148.86,148.86,0.0
2022-01-30,148.86,148.86,148.86,148.86,0.0
2022-01-31,148.86,148.86,148.86,148.86,0.0
2022-02-01,148.86,148.86,148.86,148.86,0.0
2022-02-02,148.86,148.86,148.86,148.86,0.0
2022-02-03,148.86,148.86,148.86,148.86,0.0
2022-02-04,148.86,148.86,148.86,148.86,0.0
2022-02-05,148.86,148.86,148.86,148.86,0.0
2022-02-06,148.86,148.86,148.86,148.86,0.0
2022-02-07,148.86,148.86,148.86,148.86,0.0
2022-02-08,148.86,148.86,148.86,148.86,0.0
2022-02-09,148.86,148.86,148.86,148.86,0.0
2022-02-10,148.86,148.86,148.86,148.86,0.0
2022-02-11,148.86,148.86,148.86,148.86,0.0
2022-02-12,148.86,148.86,148.86,148.86,0.0
2022-02-13,148.86,148.86,148.86,148.86,0.0
2022-02-14,148.86,148.86,148.86,148.86,0.0
2022-02-15,148.86,148.86,148.86,148.86,0.0
2022-02-16,148.86,148.86,148.86,148.86,0.0
2022-02-17,148.86,148.86,148.86,148.86,0.0
