Date,open,high,low,close,volume
2022-01-01,169.48,190.2,169.33,178.07,6303.0
2022-01-02,178.38,179.81,173.7,175.48,13819.0
2022-01-03,176.22,176.62,166.59,171.06,15826.0
2022-01-04,170.05,179.11,165.88,168.05,14365.0
2022-01-05,167.41,176.52,145.44,155.01,15013.0
2022-01-06,144.93,156.58,144.47,150.08,13335.0
2022-01-07,150.08,154.21,127.34,136.53,19041.0
2022-01-08,135.8,154.75,120.81,141.62,9106.0
2022-01-09,141.78,154.84,125.03,140.47,20140.0
2022-01-10,141.09,144.28,129.71,135.45,22003.0
2022-01-11,136.26,144.06,123.0,143.57,13755.0
2022-01-12,139.85,155.58,136.74,152.0,17851.0
2022-01-13,151.85,157.93,145.94,150.74,6990.0
2022-01-14,146.65,156.39,138.6,146.72,15453.0
2022-01-15,145.39,160.0,136.95,147.29,14895.0
2022-01-16,147.34,158.74,136.86,148.91,12889.0
2022-01-17,148.69,148.69,130.44,140.17,15986.0
2022-01-18,140.17,149.97,132.22,141.65,21182.0
2022-01-19,141.65,148.0,133.89,134.54,9682.0
2022-01-20,136.18,151.02,126.55,127.97,13695.0
2022-01-21,127.34,134.43,106.18,111.98,17198.0
2022-01-22,112.08,117.89,92.91,92.91,7571.0
2022-01-23,95.8,113.52,92.9,98.0,500.0
2022-01-24,99.23,99.23,82.1,98.02,1202.0
2022-01-25,98.02,98.02,92.37,92.37,105.0
2022-01-26,93.07,98.49,93.07,97.95,456.0
2022-01-27,97.95,99.0,88.3,88.3,356.0
2022-01-28,88.86,88.86,88.3,88.3,219.0
2022-01-29,88.3,96.2,88.3,94.0,1571.0
2022-01-30,96.59,98.25,91.96,98.25,219.0
2022-01-31,96.0,100.33,89.0,100.33,1820.0
2022-02-01,93.5,113.89,93.5,107.11,1672.0
2022-02-02,107.11,111.08,93.58,103.55,1475.0
2022-02-03,103.55,103.55,90.0,97.0,1282.0
2022-02-04,100.03,110.87,96.16,102.0,1020.0
2022-02-05,123.04,123.04,110.85,114.39,613.0
2022-02-06,114.63,115.51,112.69,112.69,563.0
2022-02-07,113.29,118.87,112.0,118.87,353.0
2022-02-08,118.87,118.87,102.0,111.33,716.0
2022-02-09,111.33,117.88,111.3,114.91,855.0
2022-02-10,114.91,114.91,102.0,102.0,152.0
2022-02-11,108.91,108.91,104.49,108.0,144.0
2022-02-12,101.1,101.1,94.0,95.29,67.0
2022-02-13,96.2,96.5,88.0,96.5,158.0
2022-02-14,96.5,96.5,96.5,96.5,0.0
2022-02-15,110.0,112.11,96.5,112.11,151.0
2022-02-16,112.11,112.11,97.83,102.27,14642.0
2022-02-17,102.27,103.71,98.59,99.55,5636.0
