Date,open,high,low,close,volume
2022-01-01,0.02125,0.02221,0.02042,0.02143,129668017.0
2022-01-02,0.02141,0.02408,0.02038,0.02224,93012525.0
2022-01-03,0.02248,0.02503,0.0212,0.02242,86448065.0
2022-01-04,0.02267,0.02379,0.02145,0.02287,122306835.0
2022-01-05,0.02244,0.02339,0.02018,0.02115,106663153.0
2022-01-06,0.02094,0.02094,0.01887,0.01961,94084507.0
2022-01-07,0.0201,0.02099,0.01804,0.01871,118985239.0
2022-01-08,0.01929,0.0202,0.01799,0.01812,68763589.0
2022-01-09,0.01799,0.0204,0.01751,0.01929,109430975.0
2022-01-10,0.01812,0.01958,0.01651,0.0172,121345252.0
2022-01-11,0.01783,0.01847,0.0169,0.01816,80728814.0
2022-01-12,0.01847,0.01972,0.0171,0.01917,99210003.0
2022-01-13,0.01923,0.02001,0.01689,0.01792,96738270.0
2022-01-14,0.01898,0.0204,0.01688,0.01964,47731616.0
2022-01-15,0.01964,0.01966,0.01763,0.01843,126143381.0
2022-01-16,0.01942,0.01974,0.01763,0.01853,116466846.0
2022-01-17,0.01871,0.02002,0.01688,0.01874,76909671.0
2022-01-18,0.01796,0.01938,0.01713,0.01837,125168710.0
2022-01-19,0.01821,0.019,0.01618,0.01715,138520770.0
2022-01-20,0.01683,0.01814,0.01616,0.01697,94345606.0
2022-01-21,0.01651,0.01658,0.01417,0.01417,112872807.0
2022-01-22,0.01414,0.01414,0.01305,0.01312,37142930.0
2022-01-23,0.01312,0.01312,0.01312,0.01312,0.0
2022-01-24,0.01329,0.01329,0.013,0.013,382412.0
2022-01-25,0.013,0.013,0.013,0.013,0.0
2022-01-26,0.013,0.013,0.013,0.013,0.0
2022-01-27,0.013,0.013,0.013,0.013,0.0
2022-01-28,0.013,0.013,0.013,0.013,0.0
2022-01-29,0.013,0.013,0.013,0.013,0.0
2022-01-30,0.013,0.013,0.013,0.013,0.0
2022-01-31,0.013,0.01618,0.01298,0.01618,330748.0
2022-02-01,0.01618,0.01671,0.01618,0.01671,244140.0
2022-02-02,0.01671,0.01671,0.01671,0.01671,0.0
2022-02-03,0.01671,0.01671,0.01671,0.01671,0.0
2022-02-04,0.01671,0.01671,0.01671,0.01671,0.0
2022-02-05,0.01777,0.01797,0.01777,0.01797,138272.0
2022-02-06,0.01797,0.01829,0.01797,0.01829,206189.0
2022-02-07,0.01829,0.01844,0.01714,0.01844,121837.0
2022-02-08,0.01844,0.0186,0.01844,0.0186,39439.0
2022-02-09,0.0186,0.01867,0.0186,0.01867,14849.0
2022-02-10,0.01891,0.01891,0.0151,0.0151,68711.0
2022-02-11,0.01701,0.01701,0.01701,0.01701,17123.0
2022-02-12,0.01701,0.01701,0.01701,0.01701,0.0
2022-02-13,0.01701,0.01701,0.01701,0.01701,0.0
2022-02-14,0.01701,0.01701,0.01701,0.01701,0.0
2022-02-15,0.01701,0.01701,0.01701,0.01701,0.0
2022-02-16,0.01547,0.01631,0.01475,0.01533,99056419.0
2022-02-17,0.01552,0.01644,0.01454,0.01458,81199916.0
