Date,open,high,low,close,volume
2022-01-01,1.748,1.839,1.6645,1.839,882561.0
2022-01-02,1.8361,2.0321,1.7948,1.93,1069678.0
2022-01-03,1.9309,1.9385,1.8021,1.8463,839144.0
2022-01-04,1.8463,1.9386,1.7777,1.7849,863537.0
2022-01-05,1.7739,1.8729,1.539,1.642,1614264.0
2022-01-06,1.6327,1.6649,1.5388,1.6579,1204786.0
2022-01-07,1.5522,1.6656,1.5019,1.5609,1512132.0
2022-01-08,1.5676,1.621,1.4492,1.5082,650450.0
2022-01-09,1.6219,1.6373,1.4377,1.5539,1529412.0
2022-01-10,1.5925,1.6039,1.4416,1.5112,972889.0
2022-01-11,1.5206,1.5961,1.4413,1.589,1652425.0
2022-01-12,1.587,1.6813,1.5429,1.6534,1033724.0
2022-01-13,1.6619,1.7156,1.5906,1.6046,639205.0
2022-01-14,1.5588,1.6246,1.4413,1.6135,1536209.0
2022-01-15,1.59,1.7247,1.5348,1.6888,1163643.0
2022-01-16,1.6963,1.7333,1.5348,1.666,1743464.0
2022-01-17,1.6648,1.75,1.5333,1.6106,979377.0
2022-01-18,1.6096,1.6132,1.474,1.5493,1574717.0
2022-01-19,1.5506,1.5553,1.4422,1.4659,1723493.0
2022-01-20,1.4621,1.5173,1.3861,1.3994,1146394.0
2022-01-21,1.2575,1.3467,1.2398,1.261,835496.0
2022-01-22,1.261,1.261,1.26,1.26,5629.0
2022-01-23,1.26,1.26,1.26,1.26,0.0
2022-01-24,1.26,1.26,1.26,1.26,0.0
2022-01-25,1.26,1.26,1.26,1.26,0.0
2022-01-26,1.26,1.26,1.26,1.26,0.0
2022-01-27,1.26,1.26,1.26,1.26,0.0
2022-01-28,1.26,1.26,1.26,1.26,0.0
2022-01-29,1.26,1.26,1.26,1.26,79.0
2022-01-30,1.26,1.2877,1.2593,1.2877,3804.0
2022-01-31,1.2877,1.2877,1.2877,1.2877,0.0
2022-02-01,1.2877,1.2877,1.2877,1.2877,0.0
2022-02-02,1.2877,1.2877,1.2877,1.2877,0.0
2022-02-03,1.2877,1.2877,1.2877,1.2877,0.0
2022-02-04,1.2813,1.2946,1.2813,1.2946,1254.0
2022-02-05,1.2946,1.2946,1.2946,1.2946,0.0
2022-02-06,1.2946,1.295,1.2946,1.295,456.0
2022-02-07,1.295,1.2961,1.2885,1.2961,1710.0
2022-02-08,1.2961,1.2965,1.2961,1.2965,877.0
2022-02-09,1.2965,1.2995,1.2965,1.2995,4907.0
2022-02-10,1.2995,1.2995,1.2995,1.2995,290.0
2022-02-11,1.2995,1.2995,1.2995,1.2995,0.0
2022-02-12,1.2995,1.2995,1.2995,1.2995,0.0
2022-02-13,1.2995,1.2995,1.2995,1.2995,0.0
2022-02-14,1.2995,1.2995,1.2995,1.2995,0.0
2022-02-15,1.2995,1.2995,1.2995,1.2995,0.0
2022-02-16,1.2028,1.2166,1.1564,1.185,1282160.0
2022-02-17,1.1861,1.2095,1.1315,1.1441,1139160.0
