Date,open,high,low,close,volume
2022-01-01,9.346,9.679,8.955,9.188,113378.0
2022-01-02,9.066,9.424,8.796,8.979,144893.0
2022-01-03,8.999,9.485,8.436,8.541,143782.0
2022-01-04,8.541,8.837,7.927,8.104,284004.0
2022-01-05,8.104,9.103,7.274,7.678,275159.0
2022-01-06,7.678,7.92,7.086,7.404,135514.0
2022-01-07,7.466,7.497,6.448,7.115,444907.0
2022-01-08,7.287,7.58,6.272,6.609,293734.0
2022-01-09,6.583,7.213,6.499,6.9,294235.0
2022-01-10,6.629,6.836,6.417,6.555,152888.0
2022-01-11,6.417,7.129,6.417,7.017,296479.0
2022-01-12,7.017,7.94,6.526,7.143,264720.0
2022-01-13,7.127,7.574,6.835,6.976,342678.0
2022-01-14,6.976,7.594,6.766,7.084,308480.0
2022-01-15,6.726,7.227,6.402,7.092,347102.0
2022-01-16,6.971,7.167,6.889,7.045,219862.0
2022-01-17,6.995,7.22,6.466,6.805,170774.0
2022-01-18,6.466,6.805,5.712,6.261,333616.0
2022-01-19,6.192,6.39,5.712,5.997,439490.0
2022-01-20,6.196,7.227,5.686,5.751,319196.0
2022-01-21,5.782,5.957,4.777,4.996,239340.0
2022-01-22,4.909,5.1,4.768,4.768,103062.0
2022-01-23,5.1,5.153,4.46,4.46,4585.0
2022-01-24,4.46,4.46,4.46,4.46,4282.0
2022-01-25,4.382,4.46,4.382,4.46,4255.0
2022-01-26,4.46,4.46,4.46,4.46,18.0
2022-01-27,4.482,4.482,4.016,4.016,11978.0
2022-01-28,4.036,4.06,4.036,4.056,2816.0
2022-01-29,4.076,4.225,4.056,4.056,4057.0
2022-01-30,4.036,4.036,4.036,4.036,135.0
2022-01-31,4.056,4.056,4.056,4.056,74.0
2022-02-01,4.213,4.5,4.213,4.44,1696.0
2022-02-02,4.5,4.589,4.44,4.44,494.0
2022-02-03,4.44,4.44,4.44,4.44,366.0
2022-02-04,4.0,4.0,4.0,4.0,25.0
2022-02-05,4.699,4.699,4.699,4.699,24.0
2022-02-06,4.699,4.699,4.699,4.699,0.0
2022-02-07,4.91,4.91,4.709,4.709,263.0
2022-02-08,4.89,4.897,4.709,4.709,1295.0
2022-02-09,4.5,4.73,4.5,4.73,14.0
2022-02-10,4.754,4.79,4.737,4.79,245.0
2022-02-11,4.79,4.79,4.415,4.415,822.0
2022-02-12,4.415,4.415,4.415,4.415,226.0
2022-02-13,4.415,4.47,4.134,4.47,2312.0
2022-02-14,4.47,4.47,4.47,4.47,15.0
2022-02-15,4.47,4.696,4.47,4.696,474.0
2022-02-16,4.72,4.833,4.164,4.354,501394.0
2022-02-17,4.269,4.361,4.117,4.159,298096.0
