Date,open,high,low,close,volume
2022-01-01,2.0386,2.2674,1.9813,2.2562,857935.6
2022-01-02,2.2576,2.3582,2.1129,2.235,861877.7
2022-01-03,2.127,2.1423,2.003,2.003,664812.5
2022-01-04,2.003,2.003,1.8375,1.9,982690.9
2022-01-05,1.9,1.9365,1.5798,1.6618,695371.5
2022-01-06,1.6618,1.7187,1.5867,1.6991,1823395.1
2022-01-07,1.6662,1.7138,1.538,1.589,1582754.2
2022-01-08,1.589,1.76,1.4495,1.5065,1135579.6
2022-01-09,1.514,1.6267,1.4954,1.5492,1862205.0
2022-01-10,1.5536,1.598,1.4125,1.4915,1838986.7
2022-01-11,1.4886,1.6056,1.4355,1.5876,1587368.9
2022-01-12,1.5676,1.7159,1.5676,1.6954,1240027.6
2022-01-13,1.6954,1.7567,1.6254,1.6281,1185278.4
2022-01-14,1.6196,1.846,1.6131,1.776,1217656.5
2022-01-15,1.776,1.8525,1.7536,1.7715,1067670.0
2022-01-16,1.7698,1.8289,1.7138,1.7428,1237451.5
2022-01-17,1.7336,1.835,1.625,1.6725,1414588.1
2022-01-18,1.6654,1.681,1.52,1.615,836329.8
2022-01-19,1.644,1.6641,1.517,1.5803,1258472.1
2022-01-20,1.569,1.698,1.5618,1.6638,629356.7
2022-01-21,1.5618,1.603,1.3674,1.4358,1376112.1
2022-01-22,1.4343,1.4874,1.18,1.18,457230.7
2022-01-23,1.18,1.18,1.18,1.18,0.0
2022-01-24,1.1859,1.1859,1.1859,1.1859,59.3
2022-01-25,1.1859,1.1859,1.1859,1.1859,0.0
2022-01-26,1.1859,1.1859,1.1859,1.1859,0.0
2022-01-27,1.1859,1.1859,1.1859,1.1859,0.0
2022-01-28,1.1918,1.1918,1.1859,1.1859,22.9
2022-01-29,1.4734,1.4743,1.3493,1.3493,2205.8
2022-01-30,1.3493,1.4744,1.3493,1.4744,2559.9
2022-01-31,1.3634,1.3634,1.3634,1.3634,267.6
2022-02-01,1.467,1.4788,1.3671,1.4788,9862.7
2022-02-02,1.4788,1.4788,1.4788,1.4788,681.3
2022-02-03,1.4788,1.4788,1.4788,1.4788,0.0
2022-02-04,1.4788,1.48,1.4788,1.48,338.0
2022-02-05,1.48,1.556,1.48,1.5559,1188.6
2022-02-06,1.5559,1.5559,1.475,1.475,642.6
2022-02-07,1.475,1.475,1.475,1.475,0.0
2022-02-08,1.475,1.475,1.475,1.475,0.0
2022-02-09,1.475,1.475,1.475,1.475,0.0
2022-02-10,1.475,1.475,1.475,1.475,0.0
2022-02-11,1.475,1.475,1.475,1.475,0.0
2022-02-12,1.27,1.296,1.27,1.296,200.0
2022-02-13,1.296,1.296,1.296,1.296,374.5
2022-02-14,1.296,1.3299,1.296,1.3299,1580.9
2022-02-15,1.3299,1.3299,1.3299,1.3299,136.7
2022-02-16,1.3299,1.509,1.3299,1.4664,1467687.3
2022-02-17,1.5097,1.5097,1.329,1.4153,390130.2
