Date,open,high,low,close,volume
2022-01-01,4.74,4.965,4.655,4.89,537229.1
2022-01-02,4.904,5.163,4.581,4.921,495616.1
2022-01-03,4.921,4.968,4.646,4.737,426062.9
2022-01-04,4.735,4.985,4.539,4.826,527195.8
2022-01-05,4.7,5.223,4.521,4.649,405633.6
2022-01-06,4.39,4.808,4.003,4.478,580825.7
2022-01-07,4.377,4.483,4.005,4.128,472020.8
2022-01-08,4.013,4.378,3.837,4.006,459248.7
2022-01-09,3.994,4.379,3.956,4.06,600454.4
2022-01-10,4.06,4.448,3.674,3.874,764774.0
2022-01-11,3.866,4.186,3.661,4.037,608502.4
2022-01-12,4.138,4.412,4.07,4.324,576467.6
2022-01-13,4.303,4.414,3.973,4.068,372381.7
2022-01-14,3.979,4.128,3.91,4.073,372270.0
2022-01-15,4.073,4.208,4.029,4.146,478374.1
2022-01-16,4.129,4.596,3.855,4.183,495925.8
2022-01-17,3.964,4.454,3.851,4.092,141068.7
2022-01-18,4.092,4.092,4.092,4.092,0.0
2022-01-19,4.092,4.092,4.092,4.092,0.0
2022-01-20,4.092,4.092,4.092,4.092,0.0
2022-01-21,4.092,4.092,4.092,4.092,0.0
2022-01-22,4.092,4.092,4.092,4.092,0.0
2022-01-23,4.092,4.092,4.092,4.092,0.0
2022-01-24,4.092,4.092,4.092,4.092,0.0
2022-01-25,4.092,4.092,4.092,4.092,0.0
2022-01-26,4.092,4.092,4.092,4.092,0.0
2022-01-27,4.092,4.092,4.092,4.092,0.0
2022-01-28,4.092,4.092,4.092,4.092,0.0
2022-01-29,4.092,4.092,4.092,4.092,0.0
2022-01-30,4.092,4.092,4.092,4.092,0.0
2022-01-31,4.092,4.092,4.092,4.092,0.0
2022-02-01,4.092,4.092,4.092,4.092,0.0
2022-02-02,4.092,4.092,4.092,4.092,0.0
2022-02-03,4.092,4.092,4.092,4.092,0.0
2022-02-04,4.092,4.092,4.092,4.092,0.0
2022-02-05,4.092,4.092,4.092,4.092,0.0
2022-02-06,4.092,4.092,4.092,4.092,0.0
2022-02-07,4.092,4.092,4.092,4.092,0.0
2022-02-08,4.092,4.092,4.092,4.092,0.0
2022-02-09,4.092,4.092,4.092,4.092,0.0
2022-02-10,4.092,4.092,4.092,4.092,0.0
2022-02-11,4.092,4.092,4.092,4.092,0.0
2022-02-12,4.092,4.092,4.092,4.092,0.0
2022-02-13,4.092,4.092,4.092,4.092,0.0
2022-02-14,4.092,4.092,4.092,4.092,0.0
2022-02-15,4.092,4.092,4.092,4.092,0.0
2022-02-16,4.092,4.092,4.092,4.092,0.0
2022-02-17,4.092,4.092,4.092,4.092,0.0
