Date,open,high,low,close,volume
2022-01-01,1.8625,1.9784,1.805,1.9665,1446307.0
2022-01-02,1.9074,2.0033,1.9038,1.99,853239.0
2022-01-03,1.99,2.0078,1.8996,1.9338,458531.0
2022-01-04,1.9338,1.9934,1.876,1.8936,866507.0
2022-01-05,1.965,1.9944,1.6224,1.7198,953005.0
2022-01-06,1.6256,1.7214,1.6194,1.6821,890817.0
2022-01-07,1.6821,1.7022,1.5954,1.6256,1248317.0
2022-01-08,1.656,1.6778,1.4944,1.5496,1261738.0
2022-01-09,1.5592,1.7204,1.487,1.5838,812772.0
2022-01-10,1.6059,1.627,1.449,1.493,1845310.0
2022-01-11,1.48,1.6178,1.459,1.5342,959259.0
2022-01-12,1.5204,1.619,1.518,1.5766,921264.0
2022-01-13,1.5878,1.6172,1.5145,1.5145,1593671.0
2022-01-14,1.5162,1.5542,1.4689,1.5386,1635783.0
2022-01-15,1.5386,1.6184,1.5188,1.5614,642943.0
2022-01-16,1.5303,1.6192,1.5085,1.5662,1890843.0
2022-01-17,1.5662,1.5797,1.4546,1.4798,1660377.0
2022-01-18,1.4834,1.499,1.4244,1.4642,1413499.0
2022-01-19,1.4654,1.58,1.3876,1.4173,1601865.0
2022-01-20,1.4288,1.4982,1.4257,1.4257,1035188.0
2022-01-21,1.4257,1.4885,1.1982,1.2244,1605671.0
2022-01-22,1.2244,1.2244,1.2244,1.2244,0.0
2022-01-23,1.2244,1.2244,1.2244,1.2244,0.0
2022-01-24,1.2244,1.2244,1.2244,1.2244,0.0
2022-01-25,1.2244,1.2244,1.2244,1.2244,0.0
2022-01-26,1.2244,1.2244,1.2244,1.2244,0.0
2022-01-27,1.2244,1.2244,1.2244,1.2244,0.0
2022-01-28,1.2244,1.3189,1.185,1.3189,5653.0
2022-01-29,1.3189,1.3189,1.3189,1.3189,75.0
2022-01-30,1.3189,1.3189,1.3189,1.3189,0.0
2022-01-31,1.3189,1.3189,1.3189,1.3189,0.0
2022-02-01,1.1333,1.1333,1.1333,1.1333,253.0
2022-02-02,1.1333,1.1333,1.1333,1.1333,0.0
2022-02-03,1.1333,1.1333,1.1333,1.1333,0.0
2022-02-04,1.3189,1.3189,1.215,1.215,778.0
2022-02-05,1.215,1.215,1.215,1.215,0.0
2022-02-06,1.215,1.215,1.215,1.215,0.0
2022-02-07,1.4885,1.496,1.229,1.229,900.0
2022-02-08,1.496,1.496,1.496,1.496,402.0
2022-02-09,1.496,1.496,1.496,1.496,18.0
2022-02-10,1.496,1.496,1.496,1.496,0.0
2022-02-11,1.496,1.496,1.496,1.496,0.0
2022-02-12,1.496,1.496,1.496,1.496,0.0
2022-02-13,1.496,1.496,1.496,1.496,0.0
2022-02-14,1.18,1.18,1.18,1.18,338.0
2022-02-15,1.18,1.18,1.18,1.18,0.0
2022-02-16,1.2586,1.2846,1.1986,1.2274,1371944.0
2022-02-17,1.2495,1.2575,1.2271,1.2271,20267.0
