Date,open,high,low,close,volume
2022-01-01,7.949,8.479,7.947,8.396,218583.8
2022-01-02,8.42,8.671,7.599,8.671,87069.5
2022-01-03,8.674,9.022,8.355,8.71,290507.2
2022-01-04,8.71,9.136,8.484,8.745,230520.1
2022-01-05,8.796,9.295,7.588,8.059,325583.0
2022-01-06,8.032,8.158,7.41,7.83,238256.9
2022-01-07,7.8,7.904,7.099,7.217,266204.1
2022-01-08,7.395,7.531,6.698,7.012,269177.5
2022-01-09,7.012,7.161,6.698,7.043,190183.4
2022-01-10,7.206,7.406,6.621,6.886,355759.8
2022-01-11,7.406,7.543,6.717,7.421,92815.6
2022-01-12,7.543,8.254,7.249,7.815,225940.7
2022-01-13,7.815,7.873,7.35,7.411,264363.1
2022-01-14,7.389,7.686,7.094,7.486,333897.7
2022-01-15,7.502,7.727,7.389,7.39,309795.7
2022-01-16,7.386,7.415,7.086,7.344,321235.3
2022-01-17,7.347,7.686,7.161,7.6,273331.3
2022-01-18,7.594,7.709,6.923,7.01,251722.1
2022-01-19,7.082,7.433,6.767,6.994,292503.1
2022-01-20,6.87,7.791,6.767,7.026,327831.9
2022-01-21,7.026,7.026,5.535,5.535,337333.3
2022-01-22,5.747,6.308,4.972,4.972,90132.7
2022-01-23,5.799,5.8,5.799,5.8,163.4
2022-01-24,4.972,4.972,4.972,4.972,34.4
2022-01-25,5.8,6.313,5.8,6.313,248.0
2022-01-26,6.313,6.313,6.313,6.313,0.0
2022-01-27,6.313,6.313,6.313,6.313,0.0
2022-01-28,4.972,4.972,4.971,4.971,188.9
2022-01-29,4.971,4.971,4.971,4.971,0.0
2022-01-30,4.971,4.973,4.961,4.961,198.6
2022-01-31,4.961,4.961,4.961,4.961,0.0
2022-02-01,4.961,4.961,4.929,4.929,859.7
2022-02-02,4.929,4.929,4.929,4.929,0.0
2022-02-03,4.929,4.929,4.929,4.929,0.0
2022-02-04,4.929,4.929,4.929,4.929,0.0
2022-02-05,6.313,6.313,6.313,6.313,84.9
2022-02-06,6.313,6.317,5.593,5.593,685.1
2022-02-07,5.593,5.593,5.593,5.593,11.1
2022-02-08,5.593,5.593,5.593,5.593,0.0
2022-02-09,5.593,5.593,5.573,5.573,363.6
2022-02-10,5.71,6.17,4.929,6.0,878.7
2022-02-11,5.968,5.968,4.929,5.274,2524.9
2022-02-12,5.274,5.274,5.274,5.274,0.0
2022-02-13,5.274,5.274,5.21,5.21,54.6
2022-02-14,5.21,5.21,5.21,5.21,0.0
2022-02-15,5.21,5.21,5.21,5.21,0.0
2022-02-16,5.469,5.746,5.32,5.574,293874.5
2022-02-17,5.545,5.756,5.479,5.579,51871.1
