Date,open,high,low,close,volume
2022-01-01,14.498,15.335,14.476,15.125,165286.1
2022-01-02,15.172,15.641,14.784,15.31,194332.2
2022-01-03,15.589,15.778,15.097,15.602,145137.1
2022-01-04,15.528,17.041,15.095,15.764,99825.5
2022-01-05,15.764,17.043,13.636,14.497,154341.0
2022-01-06,14.436,14.436,13.688,14.365,70450.7
2022-01-07,14.234,14.365,13.25,13.813,105590.4
2022-01-08,13.766,14.138,13.058,13.692,180345.8
2022-01-09,13.714,14.311,13.519,14.154,173101.4
2022-01-10,14.148,14.336,12.964,13.44,183711.4
2022-01-11,13.414,14.17,12.961,14.146,68098.9
2022-01-12,13.958,15.62,13.78,14.776,165509.2
2022-01-13,14.776,14.868,13.976,14.006,108022.2
2022-01-14,13.994,14.43,13.734,14.182,177795.3
2022-01-15,14.182,15.0,12.928,14.573,170624.4
2022-01-16,14.517,15.036,14.035,14.362,76162.7
2022-01-17,14.135,14.425,12.905,13.716,77885.5
2022-01-18,13.798,14.32,12.826,13.652,81008.9
2022-01-19,13.652,13.94,13.05,13.266,158605.8
2022-01-20,13.138,13.68,13.12,13.68,112572.6
2022-01-21,13.118,13.118,11.278,11.695,144069.4
2022-01-22,11.286,11.286,9.144,9.47,99288.9
2022-01-23,9.47,9.47,9.47,9.47,0.0
2022-01-24,9.47,9.47,9.47,9.47,0.0
2022-01-25,9.47,9.47,9.47,9.47,0.0
2022-01-26,9.524,11.1,9.524,11.1,807.2
2022-01-27,9.144,9.144,9.125,9.125,507.0
2022-01-28,9.125,9.125,9.115,9.115,279.0
2022-01-29,9.115,9.115,9.115,9.115,0.0
2022-01-30,9.115,9.115,9.115,9.115,51.1
2022-01-31,9.115,9.115,9.115,9.115,102.2
2022-02-01,9.115,9.115,9.115,9.115,0.0
2022-02-02,9.115,9.115,9.115,9.115,0.0
2022-02-03,9.115,9.115,9.115,9.115,0.0
2022-02-04,9.115,9.115,9.115,9.115,0.0
2022-02-05,9.115,9.115,9.115,9.115,0.0
2022-02-06,9.115,9.115,9.115,9.115,0.0
2022-02-07,11.695,11.695,10.4,11.2,185.2
2022-02-08,11.2,11.2,9.116,9.73,326.4
2022-02-09,11.695,11.755,11.695,11.755,913.6
2022-02-10,11.51,11.51,11.51,11.51,69.5
2022-02-11,10.732,10.98,10.732,10.98,98.9
2022-02-12,9.116,9.116,9.115,9.115,76.0
2022-02-13,9.115,9.115,9.115,9.115,407.7
2022-02-14,9.56,9.56,9.56,9.56,269.2
2022-02-15,9.56,9.56,9.56,9.56,0.0
2022-02-16,10.656,10.75,10.106,10.518,201567.4
2022-02-17,10.75,11.24,10.542,10.812,47690.8
