Date,open,high,low,close,volume
2022-01-01,228.3,252.14,228.3,250.11,1208153.695
2022-01-02,250.11,250.88,236.14,239.21,1132020.347
2022-01-03,239.28,239.37,223.4,231.1,1176625.726
2022-01-04,231.39,233.09,219.86,221.98,1221292.7
2022-01-05,222.06,224.7,200.26,205.25,1209113.163
2022-01-06,205.53,206.12,187.15,203.32,1319420.828
2022-01-07,203.32,208.11,192.52,197.82,1283076.719
2022-01-08,197.82,197.82,178.55,183.35,1304230.929
2022-01-09,183.08,194.06,178.7,190.19,1302425.662
2022-01-10,190.0,193.69,178.06,182.04,1316426.394
2022-01-11,182.14,192.51,180.56,192.15,1346508.054
2022-01-12,191.95,199.97,191.64,198.1,1491370.481
2022-01-13,198.19,228.4,197.25,222.29,1552028.991
2022-01-14,222.29,229.85,216.1,228.32,1260129.405
2022-01-15,228.31,229.32,216.0,216.87,1130252.818
2022-01-16,216.64,226.26,212.03,222.49,1149579.443
2022-01-17,222.28,230.53,211.86,214.27,1425359.275
2022-01-18,214.43,218.21,199.54,204.08,1412518.034
2022-01-19,204.23,212.74,198.99,201.3,1267733.243
2022-01-20,201.49,209.94,187.95,188.78,1144107.721
2022-01-21,188.63,192.18,167.24,172.68,1526446.998
2022-01-22,172.69,175.13,140.44,152.12,2060415.388
2022-01-23,152.03,158.95,148.18,156.85,1470271.784
2022-01-24,156.88,156.88,134.88,146.88,1917949.893
2022-01-25,147.01,147.76,139.45,144.63,1365082.297
2022-01-26,144.75,158.37,142.83,148.04,1339898.239
2022-01-27,148.33,149.75,139.26,144.81,1122328.751
2022-01-28,144.59,149.45,140.69,149.04,1090441.612
2022-01-29,148.98,155.48,148.69,153.53,1102905.847
2022-01-30,153.62,155.11,145.75,147.84,1074753.355
2022-01-31,147.84,148.18,140.45,147.19,1184987.072
2022-02-01,147.14,148.14,143.19,145.94,1254278.603
2022-02-02,145.98,150.32,143.9,145.16,1208736.122
2022-02-03,144.83,147.01,140.58,146.72,1253788.703
2022-02-04,146.68,165.82,146.43,165.19,1321259.675
2022-02-05,165.07,170.06,161.91,168.45,1127454.928
2022-02-06,168.31,174.04,166.4,173.47,1178694.125
2022-02-07,173.42,185.21,170.83,184.81,1252976.78
2022-02-08,184.88,187.8,174.42,178.58,1390974.719
2022-02-09,178.88,185.94,175.52,185.9,1160011.531
2022-02-10,185.91,187.15,177.2,178.95,1239622.03
2022-02-11,179.02,181.27,165.99,169.33,1121759.324
2022-02-12,169.34,175.07,164.14,173.67,1145119.973
2022-02-13,173.77,175.16,170.67,173.9,1062613.717
2022-02-14,173.85,177.26,167.8,176.24,1219095.6
2022-02-15,176.06,183.47,174.51,182.41,1226495.981
2022-02-16,182.53,183.65,177.89,178.89,1235675.902
2022-02-17,178.92,180.91,176.08,177.27,490335.93
