Date,open,high,low,close,volume
2022-01-01,0.8379,0.87,0.8254,0.8539,3090279.0
2022-01-02,0.8459,0.8733,0.825,0.8543,3860229.8
2022-01-03,0.8555,0.88,0.8171,0.8346,2751373.7
2022-01-04,0.8346,0.92,0.75,0.8263,2849910.9
2022-01-05,0.8263,0.873,0.6832,0.7671,4057930.6
2022-01-06,0.774,0.8025,0.705,0.7856,4625650.7
2022-01-07,0.7792,0.8236,0.68,0.7665,3889272.1
2022-01-08,0.7658,0.794,0.7107,0.7504,2380437.7
2022-01-09,0.7482,0.79,0.6845,0.7683,3297698.9
2022-01-10,0.7683,0.8203,0.6543,0.7448,1829796.7
2022-01-11,0.742,0.8284,0.6974,0.776,6160067.7
2022-01-12,0.8039,0.8161,0.7131,0.8015,4745159.0
2022-01-13,0.7951,0.8213,0.73,0.7711,4396397.0
2022-01-14,0.771,0.8121,0.7347,0.7699,3846191.8
2022-01-15,0.779,0.804,0.7202,0.7854,3677746.1
2022-01-16,0.7823,0.85,0.7131,0.7858,3557396.7
2022-01-17,0.7812,0.7887,0.7342,0.7642,4517415.6
2022-01-18,0.7641,0.835,0.7289,0.7567,15710975.3
2022-01-19,0.7533,0.815,0.7192,0.7451,6120744.2
2022-01-20,0.7411,0.829,0.653,0.723,4718382.7
2022-01-21,0.723,0.7821,0.58,0.6403,4483247.5
2022-01-22,0.6403,0.6832,0.52,0.5975,2749245.2
2022-01-23,0.59,0.63,0.59,0.598,820745.8
2022-01-24,0.6031,0.6086,0.51,0.5992,323083.9
2022-01-25,0.5992,0.6065,0.5443,0.57,274505.2
2022-01-26,0.57,0.6874,0.57,0.6264,244282.6
2022-01-27,0.5999,0.6621,0.5935,0.5935,277252.7
2022-01-28,0.6038,0.6105,0.5909,0.6024,762866.5
2022-01-29,0.6144,0.6213,0.6024,0.6171,431476.5
2022-01-30,0.6171,0.6817,0.54,0.6036,341918.9
2022-01-31,0.613,0.6323,0.5812,0.6107,131897.3
2022-02-01,0.6107,0.6874,0.6107,0.6874,363023.1
2022-02-02,0.6289,0.6874,0.5975,0.6019,986866.7
2022-02-03,0.6,0.6062,0.5917,0.6047,376012.4
2022-02-04,0.6059,0.69,0.6047,0.69,1704489.8
2022-02-05,0.6635,0.73,0.62,0.6702,319535.8
2022-02-06,0.6732,0.6848,0.65,0.6847,189027.3
2022-02-07,0.6988,0.85,0.6988,0.8306,1639746.4
2022-02-08,0.8306,0.9041,0.73,0.85,971555.4
2022-02-09,0.8607,1.0,0.8479,0.9139,197645.5
2022-02-10,0.9139,0.9139,0.7622,0.7622,526983.0
2022-02-11,0.825,0.8265,0.73,0.7577,484496.7
2022-02-12,0.77,0.8501,0.73,0.8227,298369.1
2022-02-13,0.8169,0.85,0.73,0.812,691129.7
2022-02-14,0.8117,0.86,0.7304,0.8046,562274.6
2022-02-15,0.82,0.897,0.72,0.8271,541514.6
2022-02-16,0.8271,0.8579,0.7891,0.8327,2783483.7
2022-02-17,0.8393,0.8557,0.7999,0.8134,1427483.7
