Date,open,high,low,close,volume
2022-01-01,4.368,4.755,4.272,4.719,528437.4
2022-01-02,4.726,4.816,4.602,4.702,511351.3
2022-01-03,4.812,5.063,4.463,4.782,528736.9
2022-01-04,4.846,5.368,4.451,5.045,311906.1
2022-01-05,4.989,5.311,4.308,4.546,394372.9
2022-01-06,4.546,4.688,4.14,4.417,427983.9
2022-01-07,4.417,4.6,4.0,4.298,726655.8
2022-01-08,4.244,4.39,3.914,4.06,369149.7
2022-01-09,3.871,4.358,3.861,4.169,451832.4
2022-01-10,4.185,4.367,3.853,3.968,611196.3
2022-01-11,4.002,4.387,3.934,4.208,492626.4
2022-01-12,4.139,4.42,3.908,4.326,552753.8
2022-01-13,4.352,4.467,3.875,4.163,572346.4
2022-01-14,4.093,4.552,3.807,4.313,730752.8
2022-01-15,4.313,4.416,4.136,4.311,598651.9
2022-01-16,4.245,4.411,4.145,4.319,363157.2
2022-01-17,4.252,4.39,4.029,4.123,571505.2
2022-01-18,4.091,4.431,3.901,4.055,607833.0
2022-01-19,4.088,4.21,3.867,3.914,511136.8
2022-01-20,3.862,4.218,3.705,3.734,701409.3
2022-01-21,3.734,3.827,3.295,3.393,690759.1
2022-01-22,3.393,3.393,3.393,3.393,0.0
2022-01-23,3.25,3.25,3.25,3.25,945.6
2022-01-24,2.78,2.78,2.78,2.78,7.0
2022-01-25,2.78,2.78,2.78,2.78,0.0
2022-01-26,2.78,2.78,2.78,2.78,0.0
2022-01-27,2.78,2.78,2.78,2.78,0.0
2022-01-28,2.78,2.78,2.78,2.78,0.0
2022-01-29,2.78,2.78,2.78,2.78,0.0
2022-01-30,2.939,2.954,2.939,2.954,250.0
2022-01-31,2.954,2.954,2.954,2.954,15.0
2022-02-01,3.39,3.527,3.39,3.527,15.0
2022-02-02,3.527,4.133,3.527,4.133,6111.5
2022-02-03,3.716,3.891,3.716,3.891,9534.6
2022-02-04,3.792,4.13,3.792,4.13,10219.7
2022-02-05,4.0,4.015,3.96,4.015,3841.7
2022-02-06,4.015,4.015,4.015,4.015,2.7
2022-02-07,4.016,4.15,4.015,4.15,5916.0
2022-02-08,4.15,4.218,4.15,4.218,3323.5
2022-02-09,4.599,4.599,4.451,4.562,1411.6
2022-02-10,4.562,4.562,4.562,4.562,219.8
2022-02-11,4.562,4.562,4.562,4.562,2.4
2022-02-12,4.562,4.562,4.562,4.562,0.0
2022-02-13,4.562,4.562,4.562,4.562,0.0
2022-02-14,4.562,4.562,4.562,4.562,0.0
2022-02-15,4.539,4.539,4.539,4.539,179.2
2022-02-16,4.16,4.192,3.927,4.097,469704.5
2022-02-17,4.024,4.099,3.92,4.002,195613.9
