Date,open,high,low,close,volume
2022-01-01,146.5,150.67,145.75,150.2,568207.273
2022-01-02,150.18,155.3,147.29,153.21,406779.454
2022-01-03,153.09,154.17,147.07,150.42,376436.067
2022-01-04,150.42,156.06,147.46,147.49,454066.66
2022-01-05,147.36,151.32,127.79,136.87,541562.352
2022-01-06,136.84,138.87,129.87,137.28,628593.084
2022-01-07,137.18,143.34,130.77,139.6,732076.15
2022-01-08,139.63,155.96,136.19,143.41,582445.661
2022-01-09,143.47,147.01,133.5,144.14,555862.805
2022-01-10,144.17,148.65,136.35,141.22,619989.527
2022-01-11,141.26,145.57,137.98,141.41,559973.093
2022-01-12,141.43,147.81,140.88,144.38,1073824.51
2022-01-13,144.52,149.81,140.77,143.18,587597.645
2022-01-14,143.19,144.8,136.71,142.56,521195.909
2022-01-15,142.52,146.66,141.06,144.32,421242.777
2022-01-16,144.31,145.92,140.12,141.32,401585.445
2022-01-17,141.32,142.74,134.77,138.75,525941.135
2022-01-18,138.75,140.71,128.57,131.83,610683.681
2022-01-19,131.85,132.33,125.61,125.83,515138.239
2022-01-20,125.89,131.79,118.77,119.11,532892.146
2022-01-21,119.09,120.32,100.33,102.3,929162.107
2022-01-22,102.21,104.43,83.02,94.66,1206663.307
2022-01-23,94.44,98.09,90.87,97.6,835563.643
2022-01-24,97.45,97.96,81.36,94.41,1141297.128
2022-01-25,94.38,96.56,89.1,90.37,781815.583
2022-01-26,90.48,100.09,86.64,89.44,936061.734
2022-01-27,89.74,90.61,82.53,88.93,721810.635
2022-01-28,88.7,91.77,86.28,91.31,672947.994
2022-01-29,91.19,97.08,90.61,96.18,636468.786
2022-01-30,96.38,98.0,91.52,93.06,626788.759
2022-01-31,92.97,94.87,88.33,94.47,670769.898
2022-02-01,94.5,99.68,94.14,98.91,623194.495
2022-02-02,98.81,103.75,97.5,98.34,893443.867
2022-02-03,98.34,102.14,94.97,100.42,803849.829
2022-02-04,100.8,107.5,99.42,107.17,689792.513
2022-02-05,107.13,122.86,106.13,116.01,843577.771
2022-02-06,116.04,126.1,115.92,124.36,841729.292
2022-02-07,124.51,130.81,121.27,128.6,682340.29
2022-02-08,128.8,134.89,121.62,132.92,865581.389
2022-02-09,133.23,134.29,125.7,125.93,568018.435
2022-02-10,125.95,128.93,119.83,125.07,693514.437
2022-02-11,124.97,130.89,115.06,116.44,952786.296
2022-02-12,116.48,123.39,113.45,117.77,848090.83
2022-02-13,117.85,118.67,114.9,117.07,586310.875
2022-02-14,116.87,122.07,112.49,120.5,706007.837
2022-02-15,120.47,129.97,120.16,125.86,503892.617
2022-02-16,125.95,126.57,119.75,125.42,592456.555
2022-02-17,125.5,127.35,119.64,122.96,274728.366
