Date,open,high,low,close,volume
2022-01-01,0.07511,0.07688,0.07436,0.07582,19304426.0
2022-01-02,0.07688,0.0803,0.07411,0.07744,38068412.0
2022-01-03,0.07783,0.07818,0.07319,0.07464,38713807.0
2022-01-04,0.07344,0.07824,0.07034,0.07161,35786869.0
2022-01-05,0.07139,0.07331,0.06198,0.06638,22223438.0
2022-01-06,0.06638,0.06787,0.06209,0.06515,38615557.0
2022-01-07,0.06524,0.06703,0.06186,0.06394,23109177.0
2022-01-08,0.06366,0.06852,0.05881,0.06325,38394101.0
2022-01-09,0.06325,0.06325,0.05905,0.06138,23130303.0
2022-01-10,0.06158,0.06325,0.05791,0.05941,24798518.0
2022-01-11,0.05866,0.06342,0.05786,0.06342,40835042.0
2022-01-12,0.0607,0.06673,0.05972,0.06486,37486110.0
2022-01-13,0.0648,0.07173,0.06396,0.06517,35757294.0
2022-01-14,0.06357,0.07008,0.06172,0.06452,37389308.0
2022-01-15,0.06452,0.06678,0.06172,0.065,36856632.0
2022-01-16,0.06648,0.06725,0.06154,0.06422,29392812.0
2022-01-17,0.06535,0.06725,0.05784,0.06159,34559275.0
2022-01-18,0.06174,0.06398,0.05937,0.06083,41886401.0
2022-01-19,0.06083,0.0628,0.05778,0.05879,41662779.0
2022-01-20,0.05879,0.0622,0.05709,0.05744,27749576.0
2022-01-21,0.05636,0.05805,0.05176,0.05176,28853136.0
2022-01-22,0.05176,0.05293,0.04842,0.04887,10468703.0
2022-01-23,0.04887,0.04887,0.04887,0.04887,0.0
2022-01-24,0.04887,0.04887,0.04887,0.04887,0.0
2022-01-25,0.04887,0.04887,0.04887,0.04887,0.0
2022-01-26,0.04887,0.04887,0.04887,0.04887,0.0
2022-01-27,0.04887,0.04887,0.04887,0.04887,0.0
2022-01-28,0.04887,0.0491,0.04788,0.04788,158677.0
2022-01-29,0.04788,0.04788,0.04788,0.04788,0.0
2022-01-30,0.0491,0.05015,0.04787,0.04787,83498.0
2022-01-31,0.04787,0.04787,0.04787,0.04787,0.0
2022-02-01,0.04787,0.05015,0.04787,0.05015,4176.0
2022-02-02,0.05015,0.05015,0.04786,0.04786,21824.0
2022-02-03,0.04786,0.04786,0.04786,0.04786,0.0
2022-02-04,0.04786,0.05021,0.04786,0.05021,148067.0
2022-02-05,0.04784,0.05033,0.04757,0.05033,252935.0
2022-02-06,0.05033,0.05034,0.04757,0.04757,30493.0
2022-02-07,0.04757,0.05043,0.04757,0.05043,40434.0
2022-02-08,0.05043,0.05295,0.05043,0.05295,21013.0
2022-02-09,0.05295,0.05415,0.05295,0.05415,98856.0
2022-02-10,0.05415,0.05556,0.04883,0.04883,19095.0
2022-02-11,0.04809,0.05575,0.0473,0.05575,68748.0
2022-02-12,0.0532,0.0532,0.04622,0.04622,1376.0
2022-02-13,0.04622,0.04787,0.04327,0.04787,8417.0
2022-02-14,0.04787,0.04787,0.04787,0.04787,0.0
2022-02-15,0.04729,0.0543,0.04729,0.04729,114315.0
2022-02-16,0.05102,0.05195,0.04921,0.0515,23172356.0
2022-02-17,0.05209,0.05214,0.04921,0.04983,896394.0
