BTCUSDT,BTCUSDT
ETHUSDT,ETHUSDT
BCHUSDT,BCHUSDT
XRPUSDT,XRPUSDT
EOSUSDT,EOSUSDT
LTCUSDT,LTCUSDT
TRXUSDT,TRXUSDT
ETCUSDT,ETCUSDT
LINKUSDT,LINKUSDT
XLMUSDT,XLMUSDT
ADAUSDT,ADAUSDT
XMRUSDT,XMRUSDT
DASHUSDT,DASHUSDT
ZECUSDT,ZECUSDT
XTZUSDT,XTZUSDT
BNBUSDT,BNBUSDT
ATOMUSDT,ATOMUSDT
ONTUSDT,ONTUSDT
IOTAUSDT,IOTAUSDT
BATUSDT,BATUSDT
VETUSDT,VETUSDT
NEOUSDT,NEOUSDT
QTUMUSDT,QTUMUSDT
IOSTUSDT,IOSTUSDT
THETAUSDT,THETAUSDT
ALGOUSDT,ALGOUSDT
ZILUSDT,ZILUSDT
KNCUSDT,KNCUSDT
ZRXUSDT,ZRXUSDT
COMPUSDT,COMPUSDT
OMGUSDT,OMGUSDT
DOGEUSDT,DOGEUSDT
SXPUSDT,SXPUSDT
KAVAUSDT,KAVAUSDT
BANDUSDT,BANDUSDT
RLCUSDT,RLCUSDT
WAVESUSDT,WAVESUSDT
MKRUSDT,MKRUSDT
SNXUSDT,SNXUSDT
DOTUSDT,DOTUSDT
DEFIUSDT,DEFIUSDT
YFIUSDT,YFIUSDT
BALUSDT,BALUSDT
CRVUSDT,CRVUSDT
TRBUSDT,TRBUSDT
YFIIUSDT,YFIIUSDT
RUNEUSDT,RUNEUSDT
SUSHIUSDT,SUSHIUSDT
SRMUSDT,SRMUSDT
EGLDUSDT,EGLDUSDT
SOLUSDT,SOLUSDT
ICXUSDT,ICXUSDT
STORJUSDT,STORJUSDT
BLZUSDT,BLZUSDT
UNIUSDT,UNIUSDT
AVAXUSDT,AVAXUSDT
FTMUSDT,FTMUSDT
HNTUSDT,HNTUSDT
ENJUSDT,ENJUSDT
FLMUSDT,FLMUSDT
TOMOUSDT,TOMOUSDT
RENUSDT,RENUSDT
KSMUSDT,KSMUSDT
NEARUSDT,NEARUSDT
AAVEUSDT,AAVEUSDT
FILUSDT,FILUSDT
RSRUSDT,RSRUSDT
LRCUSDT,LRCUSDT
MATICUSDT,MATICUSDT
OCEANUSDT,OCEANUSDT
CVCUSDT,CVCUSDT
BELUSDT,BELUSDT
CTKUSDT,CTKUSDT
AXSUSDT,AXSUSDT
ALPHAUSDT,ALPHAUSDT
ZENUSDT,ZENUSDT
SKLUSDT,SKLUSDT
GRTUSDT,GRTUSDT
BNTUSDT,BNTUSDT
1INCHUSDT,1INCHUSDT
UNFIUSDT,UNFIUSDT
BTCBUSD,BTCBUSD
AKROUSDT,AKROUSDT
CHZUSDT,CHZUSDT
SANDUSDT,SANDUSDT
ANKRUSDT,ANKRUSDT
LUNAUSDT,LUNAUSDT
BTSUSDT,BTSUSDT
LITUSDT,LITUSDT
DODOUSDT,DODOUSDT
REEFUSDT,REEFUSDT
RVNUSDT,RVNUSDT
SFPUSDT,SFPUSDT
XEMUSDT,XEMUSDT
BTCSTUSDT,BTCSTUSDT
COTIUSDT,COTIUSDT
CHRUSDT,CHRUSDT
MANAUSDT,MANAUSDT
ALICEUSDT,ALICEUSDT
HBARUSDT,HBARUSDT
ONEUSDT,ONEUSDT
LINAUSDT,LINAUSDT
STMXUSDT,STMXUSDT
DENTUSDT,DENTUSDT
CELRUSDT,CELRUSDT
HOTUSDT,HOTUSDT
MTLUSDT,MTLUSDT
OGNUSDT,OGNUSDT
NKNUSDT,NKNUSDT
SCUSDT,SCUSDT
DGBUSDT,DGBUSDT
1000SHIBUSDT,1000SHIBUSDT
ICPUSDT,ICPUSDT
BAKEUSDT,BAKEUSDT
GTCUSDT,GTCUSDT
ETHBUSD,ETHBUSD
BTCDOMUSDT,BTCDOMUSDT
TLMUSDT,TLMUSDT
MASKUSDT,MASKUSDT
BNBBUSD,BNBBUSD
ADABUSD,ADABUSD
DOGEBUSD,DOGEBUSD
XRPBUSD,XRPBUSD
IOTXUSDT,IOTXUSDT
AUDIOUSDT,AUDIOUSDT
RAYUSDT,RAYUSDT
C98USDT,C98USDT
ATAUSDT,ATAUSDT
SOLBUSD,SOLBUSD
FTTUSDT,FTTUSDT
FTTBUSD,FTTBUSD
DYDXUSDT,DYDXUSDT
1000XECUSDT,1000XECUSDT
GALAUSDT,GALAUSDT
CELOUSDT,CELOUSDT
ARUSDT,ARUSDT
KLAYUSDT,KLAYUSDT
ARPAUSDT,ARPAUSDT
CTSIUSDT,CTSIUSDT
LPTUSDT,LPTUSDT
ENSUSDT,ENSUSDT
BTCUSDT_220325,BTCUSDT_220325
ETHUSDT_220325,ETHUSDT_220325
PEOPLEUSDT,PEOPLEUSDT
ANTUSDT,ANTUSDT
ROSEUSDT,ROSEUSDT
DUSKUSDT,DUSKUSDT
1000BTTCUSDT,1000BTTCUSDT
FLOWUSDT,FLOWUSDT
IMXUSDT,IMXUSDT
